Scheme Name       : start_scheme
Scheme lnL        : -1565559.19412
Scheme AICc       : 3162976.02964
Number of params  : 15472
Number of sites   : 539526
Number of subsets : 1541

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 272        | 2984dc99faaa516fffef320381a5562a | chr24_1041                                                                                          
2      | GTR+G      | 288        | ffb07aac6f8c1c32602caf3e23f32700 | chr3_457                                                                                            
3      | GTR+G      | 245        | 9a2b99e2703312a6439bba673738b149 | chr2_9384                                                                                           
4      | GTR+G      | 168        | b0b6b55c5df5e8b19560ec079895e367 | chrz_8004                                                                                           
5      | GTR+G      | 382        | 78110d8ee0c5611d210ce4e13d889a0a | chr8_4030                                                                                           
6      | GTR+G      | 229        | 5c828f7bd201b7569f712b179c5c523f | chr6_8800                                                                                           
7      | GTR+G      | 205        | f01537832197258b6829153a38cff331 | chr21_1565                                                                                          
8      | GTR+G      | 344        | c18bde89fea3785c0a185f2a13279e20 | chr7_4670                                                                                           
9      | GTR+G      | 200        | ad606c674446af961004107be134026b | chr24_1203                                                                                          
10     | GTR+G      | 157        | 1937a2c1ea95c8a94ff7689817975762 | chr1_21570                                                                                          
11     | GTR+G      | 397        | b39209c2e379b547f31bbdc78d5f0ebf | chr13_187                                                                                           
12     | GTR+G      | 250        | a65d1feee0517cfed20e223c84546bbe | chr7_3146                                                                                           
13     | GTR+G      | 291        | d9886b616f421d689b18e5ba6d141437 | chr12_1854                                                                                          
14     | GTR+G      | 343        | 9979b2abd42adac9a3315e4b255a9dcc | chr2_12872                                                                                          
15     | GTR+G      | 229        | 8b722f29a8ab02479111a31c6621a581 | chr2_24251                                                                                          
16     | GTR+G      | 157        | bbe2e82180754a23f38c89c77a94f654 | chr1_28889                                                                                          
17     | GTR+G      | 248        | bde02f4041c6a98c4a9e23492786abdd | chr8_4014                                                                                           
18     | GTR+G      | 230        | 476b8022312c41e6ddad3087387a17d7 | chr3_5482                                                                                           
19     | GTR+G      | 170        | 2b41be1ff0d6e00bac8fe4ec39802b69 | chr5_14590                                                                                          
20     | GTR+G      | 352        | 0ac64e5912b8dddb7b2efa67501458c0 | chr3_18428                                                                                          
21     | GTR+G      | 246        | 939c380f47e56cbea5dcfb3afd12a37a | chrz_7936                                                                                           
22     | GTR+G      | 273        | 4f18c5a038ee4f1929b53dbcf43e82fd | chrz_3280                                                                                           
23     | GTR+G      | 190        | cbc77ea3c8818a6e529aa9ea305c147b | chr5_1700                                                                                           
24     | GTR+G      | 250        | f82941a94a2b60046fd0625298fd990f | chr7_1405                                                                                           
25     | GTR+G      | 331        | 483c0b68b1f866086f1f7c2337a9e67e | chr1_7424                                                                                           
26     | GTR+G      | 171        | 81fd236a9cdc29de652ade93c978e62e | chr1_16170                                                                                          
