name,start,stop
chr3_5587,55,330
chr6_7868,91,370
chr12_3865,208,405
chr3_5834,61,210
chr17_2984,27,153
chr1_22454,60,117
chr8_9173,58,260
chr2_17639,266,324
chr5_10912,69,128
chr4_6739,52,158
chr4_13410,80,379
chr6_8771,26,101
chr1_32294,25,224
chr14_3774,50,178
chr2_21314,46,276
chr5_10260,83,270
chr2_29129,102,221
chr9_5239,29,143
chr2_11736,36,115
chr5_10384,57,331
chr2_26684,415,480
chr2_24830,305,366
chr2_27234,69,414
chr1_26730,27,181
chrz_6036,53,359
chr3_6231,174,391
chr9_5129,138,296
chr20_5173,30,230
chr9_5205,390,470
chr3_17607,43,314
chr3_18148,47,217
chrz_7819,122,330
chr9_2502,44,502
chr6_7862,60,143
chr2_11806,37,314
chr9_7434,62,126
chr6_5992,48,271
chr20_2737,107,340
chr1_31092,302,439
chr1_5442,82,132
chr2_21162,184,379
chr2_24869,73,313
chr3_520,65,132
chr1_31095,97,283
chr3_17781,85,297
chr2_5526,67,290
chr2_23548,49,423
chr2_17527,82,528
chr17_3004,73,321
chr17_3001,105,299
chr5_10164,78,353
chr1_31654,83,404
chr3_19997,174,341
chr7_10849,54,415
chr2_8698,38,320
chr2_23651,147,201
chr1_5316,48,104
chr2_8051,65,357
chr12_1169,74,383
chr7_6301,111,362
chr2_8629,50,346
chr11_4789,91,369
chr5_12015,57,121
chr5_2308,45,269
chr5_12017,47,97
chr3_5687,47,460
chr3_451,269,320
chr3_17735,39,154
chr3_457,29,98
chr19_329,25,263
chr8_5049,150,261
chr1_34768,173,223
chr7_5015,46,134
chr1_30659,86,351
chr5_1701,47,398
chr2_10510,33,256
chr7_6598,25,240
chr3_5644,74,278
chr2_25860,25,368
chr2_7190,25,181
chr3_5766,33,311
chr12_4543,214,289
chr7_11606,134,321
chr7_4726,141,370
chr2_21462,116,500
chr12_5878,52,124
chr2_21466,126,263
chr4_11110,46,189
chr9_6291,48,340
chr7_9078,113,227
chrz_4772,36,254
chr2_18606,29,81
chr2_22077,47,112
chr7_10555,36,306
chr8_4233,69,186
chr1_14909,139,381
chr1_14908,25,299
chr2_22071,149,589
chr7_10997,52,157
chr8_3473,132,289
chr3_24775,93,305
chr3_3828,90,202
chr2_8655,28,478
chr2_11725,39,290
chr5_1800,54,172
chr6_8017,25,85
chrz_3148,96,306
chr8_3308,135,407
chr3_5494,57,258
chr6_3326,79,131
chr6_4027,83,200
chr2_24761,82,345
chr2_22024,77,304
chr2_25261,38,300
chr1_28726,30,85
chr17_1772,28,160
chr4_7243,28,244
chr1_34708,46,318
chr18_4478,389,451
chr12_5913,25,462
chrz_11557,32,246
chr4_4009,77,216
chrz_11555,113,332
chr5_1757,131,440
chr2_23670,43,436
chr3_5877,179,632
chrz_4757,39,336
chr3_21776,127,409
chr5_10904,32,568
chr7_10302,62,390
chr4_15363,39,126
chr7_4732,61,479
chr4_9636,25,297
chr8_3279,64,122
chr6_9069,94,310
chr2_8573,81,449
chr7_10860,33,103
chr2_9158,53,343
chr4_10045,64,264
chr7_10865,68,210
chr8_851,41,110
chr2_17775,80,256
chr5_14763,55,298
chr2_14319,221,398
chr9_6388,37,216
chr4_7565,299,349
chr2_24935,111,236
chr9_3537,25,128
chr9_5277,25,101
chr5_11231,38,291
chr9_7150,139,363
chrz_14584,90,266
chr6_3033,142,301
chr1_1057,162,215
chr3_6277,25,512
chr1_32333,25,258
chr3_9749,25,411
chr2_27261,287,382
chr11_6443,32,183
chr2_27262,36,407
chr7_10160,67,240
chr2_27308,35,239
chr10_4312,84,164
chr7_11485,91,309
chr7_11484,26,82
chr7_6205,26,175
chr11_3556,48,340
chrz_1652,25,177
chr2_24815,26,174
chr7_9558,25,135
chr7_4994,25,204
chr5_11286,36,290
chr20_1380,46,144
chr2_12859,151,351
chr4_8796,64,227
chr2_20477,226,292
chr2_11187,50,158
chr8_8942,122,223
chr19_354,154,364
chr3_764,79,549
chr3_7296,194,246
chr11_1600,148,241
chr6_7950,52,119
chr5_3213,93,244
chr8_9141,55,205
chr2_21320,77,394
chr7_4698,80,402
chr2_6728,63,186
chr10_4790,42,92
chr1_15477,27,342
chr6_3252,38,112
chr6_9789,140,482
chr12_1611,266,336
chr2_11804,25,133
chr1_32247,25,114
chr3_11854,74,424
chr2_433,129,304
chr2_8154,497,561
chrz_7923,28,226
chrz_6778,43,97
chr3_1300,63,457
chr7_4601,31,106
chr1_25682,99,309
chr3_362,51,217
chr7_6308,90,319
chr5_14166,25,315
chr2_23099,31,353
chrz_12021,438,506
chr11_3108,131,181
chrz_10804,124,291
chrz_11272,157,390
chrz_4736,69,213
chr1_34773,48,280
chr3_3180,38,428
chr6_9625,291,434
chrz_6690,299,358
chr2_13070,205,625
