Settings used

alignment         : ./Crawford_2012.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 34310


Best partitioning scheme

Scheme Name       : step_11
Scheme lnL        : -1185569.73574
Scheme AICc       : 2380117.2858
Number of params  : 4446
Number of sites   : 465241
Number of subsets : 443

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 534        | 14045eefc0f550d5340a19ceb64681d0 | chr5_11334_left, chr12_1169_right, chr1_31709_left, chr13_714_left, chr2_21782_right, chr10_2828_left, chr5_3401_core
2      | GTR+G      | 1905       | 36e1903a4571438205b83462d8ba25ce | chr2_21320_core, chr3_5573_core, chr9_7189_core, chr20_5173_core, chr1_8658_core, chr20_5193_right, chr13_2847_left, chr5_14166_core, chr10_2828_core
3      | GTR+G      | 1010       | 4001df84bfe396307e32842d633ed9f6 | chr7_10445_core, chr3_371_left, chr6_4409_right, chr9_5246_core, chr10_2828_right, chr11_1787_right, chr14_3774_right, chr8_7531_left, chr12_5913_right, chr7_10520_left, chr2_24869_right, chr1_32247_core
4      | GTR+G      | 1723       | 42e6b438e8f6eb8e02ca1248899e65e0 | chr6_9803_left, chr2_26684_core, chr5_10854_left, chr10_4312_left, chr5_11214_right, chr3_5522_right, chr6_9464_right, chr5_11269_left, chr8_4319_left, chr2_23595_left, chr3_5767_right, chr2_24774_left, chr4_11166_core, chr8_141_left, chr1_34768_left, chr4_11164_right, chr4_9749_right, chr2_24714_left
5      | GTR+G      | 1290       | 59fbd444687aa7a38432525dd16e107a | chr7_10340_core, chr7_11439_core, chr7_5357_core, chr4_13362_core, chr9_3633_right, chr2_29129_core, chr15_2007_core, chr10_4312_core
6      | GTR+G      | 1058       | 87f81d50036c05fa1ce991bc2766e30f | chr1_31648_left, chr3_21994_left, chr2_24807_left, chr19_2728_left, chr8_3473_right, chr10_4312_right, chr1_32310_left, chr2_17608_right, chr1_5322_core, chr2_6794_left, chr6_9069_right, chrz_6778_left
7      | GTR+G      | 1537       | dd3458c6810522c268760a54a11e6c64 | chr11_3232_right, chr6_4403_left, chr1_28859_left, chr2_18714_left, chr3_5854_left, chr11_1962_right, chr7_10555_left, chr1_32307_right, chr10_4575_left, chr5_1757_left, chr3_2726_left, chrz_7833_left, chr3_2720_left, chr10_4575_right, chr2_13449_left, chr1_22454_left, chr1_31095_left, chr2_7954_left, chr11_4808_right
8      | GTR+G      | 3012       | 715d33a357a9a4ef50f669fdb26f55b6 | chr2_8146_left, chr10_4599_left, chr4_7278_core, chr10_4575_core, chr11_1410_right, chr3_9717_left, chr8_709_core, chr5_12015_core, chr11_1600_right, chrz_6778_right, chrz_1072_core, chrz_6644_core, chr2_24807_core, chr9_5220_core, chr1_31769_left, chr2_22059_right
9      | GTR+G      | 980        | da081a40571c01f1ca150ca58a2c8322 | chr6_8823_core, chr6_9762_left, chr1_25675_left, chr21_1511_left, chr4_7565_right, chrz_8179_core, chr2_13491_left, chr3_13411_right, chr10_4599_core, chrz_8024_left, chr2_17801_left, chrz_4757_left, chr22_866_left, chr3_24787_left
10     | GTR+G      | 668        | f545fedb493875ac43584198c32c5740 | chr4_6778_right, chr8_4221_right, chr10_4599_right, chr5_10135_core, chr5_14756_left, chr2_11725_right, chr1_31743_right, chr5_10191_left
