Settings used

alignment         : ./Crawford_2012.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 11450


Best partitioning scheme

Scheme Name       : step_8
Scheme lnL        : -1225291.14612
Scheme AICc       : 2455156.68038
Number of params  : 2276
Number of sites   : 465241
Number of subsets : 226

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 376        | 52f6cd05da2d4664c0ac91ae10757346 | chr10_2828                                                                                          
2      | GTR+G      | 2880       | df3d35a639cf7979a4c23c17693cb0de | chr10_4312, chr4_7278, chr2_7180, chr3_5675, chr6_8786, chr1_32597, chr2_24800                      
3      | GTR+G      | 2900       | 4f66cad5b4376f3321e0e87dde4fe2ad | chr10_4575, chr13_2790, chr3_1300, chr2_17831, chr2_8114, chr5_18035, chr1_28859                    
4      | GTR+G      | 3113       | f8b106c30a244c8e4779525838da3007 | chr9_5181, chr2_17801, chr9_6328, chr5_3386, chr10_4660, chr10_4599, chrz_11650, chr8_3473          
5      | GTR+G      | 2853       | 5d0538e0ef3a4f759e2876a733f69aad | chr1_32446, chr1_32388, chr10_4748, chr6_9807, chr2_12017, chr5_11783                               
6      | GTR+G      | 2026       | a8a1a4bb8f2cdf23c39160779a85f1cc | chr2_11525, chr1_34773, chr20_1620, chrz_6690, chr10_4758, chr17_2957                               
7      | GTR+G      | 788        | ddf1e8a40baceaa22e1eeb78fa05d484 | chr8_1565, chr10_4790                                                                               
8      | GTR+G      | 541        | b11ce36e39f0c0d27390f89080577394 | chr4_1464, chr10_5022                                                                               
9      | GTR+G      | 3012       | 14726decb92a68b2dde6ac4ff107b574 | chr4_2456, chr8_4260, chr1_32294, chr2_17608, chr17_2963, chr10_5678, chr11_2599, chr8_4410         
10     | GTR+G      | 3530       | a11119ccc83465dfad7fcf4b8d145da0 | chr9_6300, chr5_11293, chr7_11479, chr2_8786, chr5_10135, chr11_4723, chr2_17532, chr2_7954, chr10_5708
11     | GTR+G      | 923        | 3653c1a6a360a889fb4e1f99af4811b4 | chr10_5739, chr3_764                                                                                
12     | GTR+G      | 3827       | 880ed4027081cbd38b3e4e4d1c87b39e | chr1_30195, chr5_10254, chr11_1410, chr1_26730, chr3_17211, chr3_11854, chr2_18926, chr3_21999, chrz_4757, chr5_11307
13     | GTR+G      | 5827       | 3e36395fd4d22e817040c471704d0e4e | chr11_1600, chr2_14269, chr6_3228, chr1_28747, chrz_11420, chr2_24869, chr2_14216, chrz_11901, chr7_6598, chr6_3116, chr6_3293, chrz_4746, chr3_5577, chr2_27317, chr5_10191
14     | GTR+G      | 9518       | 06ff3617cdd8a29a7820b1e3b796a06d | chr5_1757, chr11_4808, chr2_4311, chr1_14909, chr1_28710, chr1_25693, chr3_6231, chrz_6570, chr3_451, chr1_5316, chr6_3276, chr5_1055, chrz_8179, chrz_3524, chr7_11510, chr11_6443, chr3_5924, chrz_14313, chr2_11732, chr2_26684, chr11_1757, chr7_1412, chr9_3633
15     | GTR+G      | 4045       | 77c3e40df08de44e4021745ed1520636 | chr11_1787, chr1_32389, chrz_7426, chr5_11231, chr8_4125, chr6_8771, chr2_23600, chr2_8747, chr12_5678, chr14_3723
16     | GTR+G      | 3366       | f2f64482d1606ae8a947263b9ddc7546 | chr13_3033, chrz_6800, chr11_1962, chrz_72, chr6_9592, chr5_10096, chr11_3428, chr1_5442            
17     | GTR+G      | 3167       | c995d0e288d2c5883e4aea3fb53c15f8 | chr7_6366, chr8_8942, chr11_3190, chr7_5015, chr11_1999, chrz_14552, chr3_3180, chr2_23670          
18     | GTR+G      | 1691       | 9f3acd8d1b202ebd4904f5e7fd4bf38d | chr1_32216, chr11_3108, chr5_11258, chr2_17101                                                      
19     | GTR+G      | 4227       | 2a347ce0c252fd26386641687c15b7a3 | chr5_11656, chr7_10520, chr7_10849, chrz_8694, chr5_11657, chr5_2978, chr5_1800, chr9_7170, chr6_4118, chr11_3186
20     | GTR+G      | 2695       | d37471f1e58b08c1a4952f021430fe2b | chr6_4403, chr4_19912, chr11_3231, chrz_6036, chr3_371, chr8_661, chr8_4221                         
21     | GTR+G      | 3221       | db41e82e09937aa36fbb244f90a5e33a | chr1_31095, chr11_3232, chr3_18148, chr6_4409, chr4_13330, chr5_3203, chr1_15369, chrz_3148         
22     | GTR+G      | 2029       | cbb94477669db6fb160dd0feb311cdb0 | chr3_9734, chr11_3250, chr2_7963, chr5_11245, chr3_491                                              
23     | GTR+G      | 3389       | 650b3bcde9fd14f187d90c5827c44a7f | chr5_3401, chr2_22071, chr11_3287, chr1_32429, chr12_5983, chr20_5307, chr2_21162                   
24     | GTR+G      | 2108       | 4d414fb8d236ae25c3b730cc6a26dbf5 | chr11_3318, chr11_3508, chr9_5277, chr4_7028, chr13_720, chr1_14908                                 
25     | GTR+G      | 4781       | ad5c4ff9e8d08a57920abf8e31424beb | chr11_3345, chr2_16467, chr2_22045, chr5_10120, chr3_25156, chr2_14414, chr3_7263, chr8_3451, chr7_10882, chr2_6794, chr3_17991, chr8_5307
26     | GTR+G      | 5177       | 647a8c0594853f6b77e6635b0717fcd9 | chr2_26677, chr5_14756, chr2_23687, chrz_7923, chr1_5297, chr13_2779, chr11_3414, chrz_11372, chr2_23192, chr2_13502, chr9_3537
27     | GTR+G      | 9884       | 4ac2707d3254072a3148e45892f2d102 | chr3_18256, chr3_21994, chrz_11479, chr2_24761, chr5_10587, chr2_17003, chr4_9731, chr8_7536, chr2_20477, chr8_2110, chr2_21462, chr3_5767, chr5_11156, chr3_17448, chrz_60, chrun_random_5622, chr2_25261, chr11_3418, chr2_9158, chr13_2920, chr1_5292, chr5_11206, chr13_3036
28     | GTR+G      | 2030       | c5aa08fe09e9cd66cccc0d7475a8bf1f | chr7_11439, chr11_3419, chrz_6735, chr4_18946, chr20_2151, chr7_11446                               
29     | GTR+G      | 2197       | c22f7ee5dca7f843096715ec515e27ef | chr11_3420, chr2_7190, chr2_24830, chr2_11725, chrz_6778, chr6_3086                                 
30     | GTR+G      | 1968       | 2046eb084582e3d5835ad61706c6665f | chr3_17769, chr2_21376, chr2_22620, chrz_9895, chr11_3422                                           
31     | GTR+G      | 4156       | b8c719dbfc94a883be9817ca74c93f0f | chr3_5918, chr3_5552, chr2_23507, chr1_32366, chr11_3432, chr4_11164, chr7_10800, chr7_10302, chr2_22050, chr7_4896
32     | GTR+G      | 4976       | 813bdf42843ae315a137e80bbef4dd23 | chr2_7927, chr2_12926, chr2_13070, chr7_4994, chr5_10846, chr1_14899, chr11_3447, chr2_17644, chr7_11484, chr2_12973, chr24_2232
33     | GTR+G      | 2475       | c729c52a0d8660808f9eeb500b5a5457 | chr9_5239, chr4_8915, chr1_14956, chr11_3489, chr3_19987, chr22_491, chr1_28726                     
34     | GTR+G      | 2954       | 895ab14a163b9ce44eaea16f2a03e9aa | chr13_2821, chr3_21776, chr11_3556, chr2_18574, chr3_457, chr3_5494, chr7_4965                      
35     | GTR+G      | 5275       | 671aa710b395e54d9b5bc67ae8745768 | chr2_14319, chr5_11269, chr3_5587, chr3_5522, chr5_12017, chr7_9143, chr2_7976, chr20_5160, chr11_3582, chr11_5062, chr3_9719, chr2_2147
36     | GTR+G      | 2699       | 1654a95cddd723a055070d6bc2115c6d | chr14_3774, chr2_24941, chr1_5338, chr2_8698, chr11_4777, chr2_22605                                
37     | GTR+G      | 1676       | 8b64e24b7897dfdc1f8808a4863f749a | chr3_17860, chr2_7435, chr11_4789, chr8_8835                                                        
38     | GTR+G      | 1244       | 84425ae3cec9347280903d47caaa891f | chr3_13404, chr11_6409, chr7_3146                                                                   
39     | GTR+G      | 1810       | 0e6131939d04ae3a7a6146946b5cdee2 | chr3_17712, chr2_6728, chr9_3638, chr11_6465                                                        
40     | GTR+G      | 1840       | b727bd27488856a96e3a209465426af6 | chr1_30390, chr2_21373, chr5_11219, chr12_1169                                                      
41     | GTR+G      | 2198       | 338efe39b53dfa86178472787da2fff3 | chr12_1611, chr1_29941, chr7_1396, chr7_6308, chr3_6115                                             
42     | GTR+G      | 1052       | 034df53089aa5930d0bcd4cfbff7977e | chr2_24947, chr12_2213, chr3_5854, chr4_6739                                                        
43     | GTR+G      | 750        | bb1575b21b532ca60de908650efbf9e9 | chr1_19885, chr12_3865                                                                              
44     | GTR+G      | 2871       | 59ade701accc67f5e121959a45bee905 | chr12_4543, chr1_14921, chr3_5470, chr4_7199, chr5_10353, chr1_7683, chr2_6767                      
45     | GTR+G      | 630        | 82ee2534b7450c48f45a3ec18dd8d40d | chr12_4859, chr12_5975                                                                              
46     | GTR+G      | 3261       | 055509f2e91be3212ffbd512fd3ea613 | chr5_11660, chr2_22024, chr5_10052, chr1_28784, chr3_3107, chr13_714, chr12_5730, chr5_14679        
