Settings used

alignment         : ./Harrington_2016-permut-14.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 17880


Best partitioning scheme

Scheme Name       : step_9
Scheme lnL        : -1887697.90698
Scheme AICc       : 3783733.02185
Number of params  : 4096
Number of sites   : 235232
Number of subsets : 399

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 430        | ec14703b2a42b0574ef9f2d51428d538 | uce_46_left, uce_1001_core                                                                          
2      | GTR+G      | 65         | 53cc8ed899df672996c7e71323af5c1d | uce_46_core                                                                                         
3      | GTR+G      | 351        | 7428bd3103c61c0c55ef4bf0d575418b | uce_319_core, uce_46_right, uce_526_left, uce_702_right                                             
4      | GTR+G      | 564        | 82df686c1d913243caba4b11795477f1 | uce_331_left, uce_48_core, uce_448_right, uce_2_core, uce_740_core, uce_1195_left, uce_1320_core, uce_51_core
5      | GTR+G      | 785        | 3778ea32ea5afcd166f7641c02ac6126 | uce_549_core, uce_915_core, uce_252_left, uce_540_right, uce_485_left, uce_777_core, uce_1180_left, uce_502_left, uce_1195_core
6      | GTR+G      | 712        | 107f5ba92b01dcf4856c5f4e31e8410d | uce_974_core, uce_79_left, uce_874_right, uce_105_right, uce_43_core, uce_1195_right                
7      | GTR+G      | 428        | da24915a005b51c11dab0d058ff8b916 | uce_883_right, uce_1196_left                                                                        
8      | GTR+G      | 380        | 4a3607934a1bd426ba499c3330626142 | uce_1005_core, uce_1196_core, uce_524_left, uce_609_right, uce_1095_core                            
9      | GTR+G      | 1345       | 96dcd7b2919c069c47c541aa413f2b22 | uce_227_left, uce_136_left, uce_1196_right, uce_718_right, uce_1142_left, uce_986_right, uce_550_left, uce_608_right
10     | GTR+G      | 797        | 48edef876ad729a745d38a37fbeaf1ad | uce_840_left, uce_949_core, uce_1278_core, uce_593_left, uce_794_right, uce_587_left, uce_801_left, uce_646_core
11     | GTR+G      | 1362       | e49b18586002af422589dd6069e34a02 | uce_1092_left, uce_1251_left, uce_818_left, uce_511_core, uce_587_core, uce_185_right, uce_1123_left, uce_154_right, uce_917_left
12     | GTR+G      | 667        | 9222d5213baaceb4794e03c07d090b8b | uce_763_left, uce_883_left, uce_121_left, uce_587_right, uce_700_core, uce_650_right, uce_577_core  
13     | GTR+G      | 1251       | 06622f137b12a6b385fe80fcd94fc792 | uce_699_core, uce_556_left, uce_165_right, uce_1215_core, uce_486_left, uce_619_core, uce_165_left, uce_1051_right, uce_746_left, uce_497_core, uce_1270_core, uce_106_right
14     | GTR+G      | 52         | 31b83d77492769260aef8764b9a09800 | uce_165_core                                                                                        
15     | GTR+G      | 152        | e235806a61ed6d275711b9e63d4bbf16 | uce_1320_left, uce_306_left                                                                         
16     | GTR+G      | 659        | fd1573a31b132bafa32616cf28b27e19 | uce_473_right, uce_473_left, uce_161_core, uce_306_core, uce_1184_core, uce_420_core, uce_686_left  
17     | GTR+G      | 126        | c0913c916da21f15c23979ecec94e827 | uce_1135_core, uce_306_right                                                                        
18     | GTR+G      | 1692       | 54e8e27c77430e195a94a64f0eeeb9fd | uce_1101_right, uce_1303_right, uce_1122_left, uce_959_right, uce_786_right, uce_972_right, uce_422_left
19     | GTR+G      | 1937       | a4e282537f0dff6b688309683bcab069 | uce_1122_core, uce_205_right, uce_918_core, uce_526_core, uce_176_left, uce_1092_right, uce_433_core, uce_631_core, uce_563_right, uce_335_right
20     | GTR+G      | 304        | bbf0db58f3315e69f2287c46616c3a1d | uce_110_core, uce_231_right, uce_623_core, uce_1122_right, uce_442_core                             
21     | GTR+G      | 809        | c557250b6191c808c9a5f4b92e6714c9 | uce_388_left, uce_81_left, uce_516_left, uce_1257_left, uce_355_right, uce_954_right                
22     | GTR+G      | 550        | 0809336fe0f1de86de7d821c5e0181da | uce_646_right, uce_81_core, uce_646_left                                                            
23     | GTR+G      | 1460       | fd614b238d4e8b02644724a31f66cd7e | uce_708_right, uce_994_core, uce_1151_right, uce_705_core, uce_81_right, uce_133_right, uce_1277_left, uce_1277_right, uce_1285_core, uce_1335_core
24     | GTR+G      | 835        | a3ef33fc1625aac87d4f4ddc4ee7a370 | uce_934_core, uce_143_left, uce_443_left, uce_368_left, uce_18_left                                 
25     | GTR+G      | 175        | e2a25c5dbf3ce9bdd99503d8a601242c | uce_846_left, uce_143_core                                                                          
26     | GTR+G      | 1227       | 9b8b5ca21274594f488b02845fe99d5e | uce_698_right, uce_842_right, uce_815_right, uce_908_core, uce_626_left, uce_330_core, uce_795_left, uce_143_right
27     | GTR+G      | 336        | 65827284283b22e818c6b7733b8811dd | uce_739_core, uce_1260_core, uce_485_core, uce_1079_core                                            
28     | GTR+G      | 996        | c84eeca31d3d72718f767ba6d17648fd | uce_1178_right, uce_399_right, uce_923_left, uce_625_right, uce_190_core, uce_294_left, uce_485_right
29     | GTR+G      | 245        | 98d9ed75d7c6343a8e5f67a2d03f1f68 | uce_1143_left                                                                                       
30     | GTR+G      | 115        | 0397fbc043006fd858268512c8b1ad07 | uce_1143_core                                                                                       
31     | GTR+G      | 87         | 7dd996cd582faa0781cb4b86d9a129f7 | uce_1143_right                                                                                      
32     | GTR+G      | 488        | 5c202c40be2f47fcff56017e015986b5 | uce_986_core, uce_830_core, uce_1311_left, uce_657_left, uce_624_right, uce_116_right, uce_1321_core
33     | GTR+G      | 855        | 478dec7d0167d76af3cbe5b1463b6d2f | uce_657_core, uce_1177_right, uce_330_right, uce_558_core, uce_728_right, uce_149_right, uce_333_core, uce_560_left
34     | GTR+G      | 1905       | 63ae167f5a8c1357a1b672d90c9f24d9 | uce_1179_left, uce_1179_right, uce_232_core, uce_657_right, uce_1117_left, uce_331_right, uce_1341_right, uce_933_core, uce_993_left, uce_1296_left, uce_699_left, uce_944_right, uce_370_core, uce_489_right
35     | GTR+G      | 632        | 8e3677e03e4ff2628ad4b764b97b2cb8 | uce_1136_left, uce_871_core, uce_772_core, uce_714_left, uce_946_left                               
36     | GTR+G      | 516        | 419b17ab2e9a61f8ccafed0bc4dea8b0 | uce_1137_left, uce_1200_right, uce_794_core, uce_277_right, uce_847_core, uce_1246_left, uce_714_core
37     | GTR+G      | 964        | c288c6252fa03a755aa1b48c58201f34 | uce_1155_core, uce_694_left, uce_1079_right, uce_159_left, uce_1034_right, uce_298_core, uce_1321_right, uce_714_right
