Settings used

alignment         : ./Crawford_2012.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 34310


Best partitioning scheme

Scheme Name       : step_9
Scheme lnL        : -1200318.61051
Scheme AICc       : 2409859.75325
Number of params  : 4566
Number of sites   : 465241
Number of subsets : 455

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 322        | 5c33f38c120c375bb5612454a21cf9d1 | chr10_2828_left, chr2_14247_left, chrz_5682_left                                                    
2      | GTR+G      | 1339       | 6fdca76c94bf89f786619d54e11c2117 | chr1_5301_left, chr4_7565_core, chr3_21577_left, chr7_11479_left, chr5_8793_right, chr5_11167_left, chr9_6388_right, chr10_2828_core, chr20_309_left, chr5_2017_left
3      | GTR+G      | 706        | c20874fffcbff746650ddedf0072a2bf | chr10_2828_right, chr3_19997_right, chr3_21994_left, chr2_21376_left, chr4_4979_left                
4      | GTR+G      | 983        | c68448d712041cb0ca870b5edb4907c2 | chr2_18608_left, chr10_4312_left, chr5_10587_left, chr20_2737_left, chr9_6328_core, chr3_11854_right, chr8_7440_left, chr4_7551_core, chr13_707_left, chr8_3308_right
5      | GTR+G      | 173        | ee5858ef2b4e1c0b66aa8691f8392807 | chr5_1840_core, chr10_4312_core, chr2_12994_core                                                    
6      | GTR+G      | 1685       | b43b3f977433fae4c39dd6b15317edb9 | chr8_310_right, chr7_10361_left, chr2_24941_left, chr10_4312_right, chr5_10912_right, chr4_7557_right, chr7_5166_left, chr2_9136_right, chr1_32234_left, chr9_5239_left, chr9_3633_left, chr11_4723_left, chr5_11660_left
7      | GTR+G      | 1819       | 4d590c981ef550e5ecf82d1984d6a781 | chr4_7199_right, chr8_709_left, chr2_17666_right, chr10_4575_left, chr7_11510_left, chr11_3428_left, chr2_13064_right, chr5_1918_left, chr6_9464_left, chr6_7982_left
8      | GTR+G      | 1198       | 21fc88a77214e796272c630d339d0cce | chr7_4670_core, chr7_4746_right, chr2_24825_core, chr12_5938_left, chr10_4575_core, chrz_6659_left, chr19_354_core, chr6_3257_core, chr7_5015_left, chr7_1405_right, chr2_12859_right, chr8_1565_right
9      | GTR+G      | 999        | 5f7ea4ebea46961a3bfee99d87cf1e8b | chr2_14414_left, chr10_4575_right, chr22_865_left, chr4_10540_core, chr2_25261_left, chr7_4732_left, chr8_9141_left, chr20_5173_left, chr11_3318_left, chr7_9078_left, chr8_492_right
10     | GTR+G      | 196        | 2022f89fd92da6fba0f724d3e8716b69 | chr10_4599_left, chr5_10841_right                                                                   
11     | GTR+G      | 727        | 79b043d648da49551ab6cf34817f0c0e | chr3_5675_left, chr7_6205_left, chr3_1249_left, chr10_4599_core                                     
12     | GTR+G      | 650        | b6be1e974591f3a5adeb02eb5d305c8d | chr4_7064_right, chrz_14208_left, chr2_24800_right, chr2_24799_left, chr10_4599_right, chr1_28710_left, chr6_9592_left
13     | GTR+G      | 1228       | 6721d5272436fb56ebd4c0d8ce91ee02 | chrz_6578_left, chr2_7915_core, chr4_13277_left, chr7_9078_right, chr17_3001_right, chr1_32446_left, chr2_21162_right, chr3_5854_left, chr2_18733_right, chr4_5420_left, chr10_4660_left, chr26_2189_core
14     | GTR+G      | 2418       | ff78c7e4e65284805c3dc3b262a59315 | chr1_30390_right, chr2_23595_core, chr5_10191_left, chr3_3180_left, chrz_7819_core, chr10_4660_core, chrz_14313_core, chr5_11219_left, chr3_17792_core, chr2_23648_left, chr2_18574_core, chrz_4772_right, chr3_9717_core, chr2_13491_right, chr8_709_core, chr26_2177_right
15     | GTR+G      | 537        | 995e9dfd3cf8958e14a339a4bd659156 | chr3_17498_left, chr10_4660_right, chr7_10618_left, chrz_14584_left, chr11_3108_left, chr12_5877_left
16     | GTR+G      | 2499       | d06192ce800e1436046b370ed1c13ab7 | chrz_11684_right, chr10_4748_left, chr2_12992_right, chr2_5526_right, chr5_1800_left, chr2_17639_left, chr5_3386_core, chr3_11854_core, chr1_5333_left, chr4_9731_core, chr11_3345_core
17     | GTR+G      | 516        | f123b669c0c76d60943321ef7d8f4f49 | chr2_2794_core, chr10_4748_core, chr6_3228_core, chr1_20864_right, chr3_451_left, chr2_17568_left, chr2_24859_left, chr11_3420_left
18     | GTR+G      | 6049       | 080051e6747a5640e20e7e54e025749c | chr2_11732_core, chr3_3116_right, chr13_720_left, chr10_4748_right, chr12_5897_left, chr1_32446_right, chr2_24864_core, chrz_11372_left, chr2_18619_left, chr9_6343_right, chr1_28846_left, chr12_4543_left, chr1_31743_right, chr2_12017_core, chr2_23192_left, chr3_5577_right, chr2_2147_left, chr11_3190_left, chr5_10201_right, chr18_1424_right, chr3_362_left, chr3_3016_right, chr7_11467_left, chr6_4101_left, chr6_9046_core, chr2_14216_right, chr3_576_right, chr1_28645_left, chr2_12926_left
19     | GTR+G      | 407        | 633dcb152a356a67e032a5feba1bb244 | chrz_6690_core, chr17_3004_core, chr1_31767_core, chr3_3180_right, chr10_4758_left                  
20     | GTR+G      | 527        | 676081760ebd5311e2a4b3630f9b8528 | chr3_457_right, chr3_6248_right, chr5_1674_left, chr10_4758_core, chr5_14720_right                  
21     | GTR+G      | 1741       | 519bc4b059119dbffbcf5d20acfe7cc1 | chr8_4063_core, chr4_7565_left, chr2_24774_core, chr1_28786_left, chr2_13044_right, chr5_11247_right, chr4_11166_core, chr2_8145_left, chr3_17851_right, chr8_4221_right, chr10_4758_right
22     | GTR+G      | 625        | 27f8e836348eb719f222913e006a068e | chr3_17666_right, chr7_11606_left, chr2_23651_right, chr3_11854_left, chr1_14909_left, chr4_7551_right, chr10_4790_left, chr12_5970_left
23     | GTR+G      | 620        | 3804934fbeb1d3a03683bd4e801635fc | chr1_32334_core, chr17_2963_core, chr3_17583_right, chrz_14460_core, chr10_4790_core                
24     | GTR+G      | 2340       | 4352c44b784ef69fc2c4114d94b35da9 | chr11_3428_core, chr7_10793_right, chr5_10260_right, chr8_9158_core, chr2_24761_core, chrz_11477_core, chr7_4747_core, chr4_7513_left, chr1_5292_core, chr1_28639_left, chrz_14460_right, chr10_4790_right, chr2_7218_right, chrz_8113_right, chr8_4260_right, chr5_1757_core
25     | GTR+G      | 888        | cbe1d4eec5398a8f88f188f1c2839925 | chr5_11258_left, chr8_4410_left, chrz_8501_left, chrz_10804_right, chr10_5022_left, chr4_13362_core 
26     | GTR+G      | 364        | 3a0e6548884e7ea8f45cf996c19e7a55 | chr4_1464_left, chr10_5022_core, chr4_14147_left, chr2_24947_left                                   
27     | GTR+G      | 1749       | 663cc92af3b2dcb064d93e0223cf7b4e | chr10_5022_right, chr2_30204_right, chr7_10443_core, chrz_8059_right, chr2_6336_core, chr2_8651_core, chrz_1652_left, chr3_24903_core, chr1_30659_core, chr5_1813_core, chr3_6253_core, chr5_10191_core, chr6_9772_core
