Settings used

alignment         : ./Crawford_2012.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 30870


Best partitioning scheme

Scheme Name       : step_9
Scheme lnL        : -1200780.46507
Scheme AICc       : 2410375.66999
Number of params  : 4366
Number of sites   : 465241
Number of subsets : 435

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 461        | 3c2433755fd50e2ade58926e02865c28 | chr10_2828_left, chr5_11266_right, chr7_6190_left, chr7_5166_right                                  
2      | GTR+G      | 1986       | 6d3118dc0ef37abfa00cc50a1f529368 | chr2_17831_core, chrz_8113_right, chr5_1800_core, chr8_1565_core, chrz_4759_left, chr12_5903_core, chr2_11804_right, chrz_14674_left, chr9_1157_core, chr5_10047_right, chr7_11479_left, chr10_2828_core, chr20_309_left, chr2_433_core
3      | GTR+G      | 1183       | 85919d9e7022346e20631c5977e88adc | chr2_18574_right, chr4_4979_left, chr2_25860_left, chr1_31769_left, chrz_10754_core, chr10_2828_right, chr12_5908_all, chr1_5509_core
4      | GTR+G      | 1562       | e6221c1e17e659c49358b3fb652a1267 | chr6_8786_left, chrz_12021_left, chr2_6767_left, chr11_3345_left, chr5_1055_left, chr3_17832_left, chr2_26684_right, chr10_4312_all, chr7_6327_left
5      | GTR+G      | 1185       | 93f97ff9aee33b951fcc05c15a2e5298 | chr2_6737_left, chr1_14856_left, chr2_23099_right, chr10_4575_left, chr3_6119_right, chr11_3428_left
6      | GTR+G      | 1184       | 05228af99cfb58ca4cedca2cb2df417b | chr10_4575_core, chr8_5056_core, chr1_5281_left, chr2_21313_left, chr2_8698_left, chr1_5468_left, chr1_34773_right, chr13_714_right
7      | GTR+G      | 1754       | c9f11e74260b51647001b62aa20929e1 | chr3_2733_left, chr2_18619_right, chr2_8051_right, chr5_10180_left, chr12_1169_left, chr13_2790_left, chr5_11336_core, chr10_4575_right, chr1_28671_left, chr5_11660_left, chr8_8938_left, chr1_8696_left
8      | GTR+G      | 895        | a965e64315f60cf123aa44a0acd82be8 | chr3_9687_right, chr13_696_core, chr7_10865_right, chr2_20139_all, chr10_4599_left, chr14_3723_right
9      | GTR+G      | 1016       | c38cdc0c6cee15df00ac80a2014dd206 | chr1_32334_core, chr19_362_left, chrz_8179_right, chrz_7936_left, chrz_6659_left, chr10_4599_core, chr1_34773_left, chr11_1757_core
10     | GTR+G      | 1300       | 28f75451013c07a584e2633c297ffb6e | chr3_3067_left, chr4_7551_core, chr2_24704_core, chr8_709_right, chr5_10353_right, chr2_24761_left, chr8_5153_right, chr1_5213_left, chr10_4599_right
11     | GTR+G      | 2617       | 6513a74abdeb915a5f1d97ac439d5ffd | chr1_12668_left, chr9_5129_left, chr3_7394_right, chr10_4660_all, chr7_1396_right, chr3_21951_left, chr3_5529_left, chr9_7150_right, chrun_random_5622_all, chr3_5748_left, chr2_14414_all, chr2_24886_right, chr5_11214_left, chr2_17666_right, chr1_29941_right, chr6_9069_right
12     | GTR+G      | 2380       | 9f1323f797da0f0d6881c91e057a1a63 | chr5_11266_left, chr8_2110_right, chr7_10302_left, chr3_3177_left, chr2_6336_right, chr3_17623_right, chr2_13044_left, chrz_1072_left, chr10_4748_left, chr3_21999_all, chr1_25693_left, chr3_5552_left, chr2_17801_left, chrz_14208_left, chr5_11245_left, chr5_11156_right
13     | GTR+G      | 2585       | 9dc0343d8f59af89c98ef6a88b72157d | chr19_362_core, chr2_13502_core, chr10_4748_core, chr5_10841_core, chrz_532_core, chr7_11565_left, chr1_5365_core, chr1_5460_core, chr5_11266_core, chr4_9320_core, chr2_12973_right, chr5_10201_core, chr7_6205_right, chr6_7254_right, chr2_12867_core, chr7_11588_core, chr3_5577_core, chr5_11334_right, chr3_9732_core
14     | GTR+G      | 3027       | 2801a943ba7e94bf8e4a8099126707b6 | chr1_32388_right, chr9_5218_right, chr10_4748_right, chrz_11659_left, chr8_7536_core, chr1_32215_left, chr2_24825_right, chr2_8146_all, chr4_7028_left, chr6_9807_right, chr11_1962_right, chr1_22335_all, chr2_14247_right, chr2_8629_right, chr3_509_left, chr11_4723_right
15     | GTR+G      | 2771       | 3d3e45f53d335b15d96429b333f180d8 | chr2_13064_left, chr2_23690_right, chr6_4101_left, chr7_10603_right, chr4_13362_right, chr7_4715_right, chr7_10603_left, chr6_3326_core, chr4_19912_left, chr2_18572_right, chr4_18946_all, chr20_1620_left, chr2_23138_left, chr5_1813_left, chr10_4758_all, chr4_13410_left
16     | GTR+G      | 429        | 50e27b21e4697eb81eb1dde46077ba22 | chr6_1350_left, chr10_4790_left, chr2_15001_left, chr5_10413_left                                   
17     | GTR+G      | 1038       | 719ae664b5e39c2318eb5680a59d007a | chr1_14389_left, chr5_10135_core, chr14_3754_right, chr2_13502_right, chr10_4790_core, chr8_3473_right, chr3_18306_core, chr21_1554_left
18     | GTR+G      | 1838       | a047931ae98699f37dd8d1bac9a4f2f3 | chr11_3419_left, chr2_14269_left, chrz_14460_right, chrz_6553_core, chr10_4790_right, chr2_12992_right, chr2_21308_right, chr7_10603_core, chr5_10260_right, chr4_9320_right, chr4_13330_core, chr13_696_left
19     | GTR+G      | 1103       | da6d57d0e9794b5d2d5a631de41de53d | chrz_10691_right, chr11_1962_core, chr2_24864_right, chr10_5022_left, chr2_24947_right, chr3_24903_right, chr7_9558_core, chr2_11725_left, chr3_16786_left
20     | GTR+G      | 1959       | 288d6df4c95f4aaeec9ed319cc3a9b1a | chr4_7281_left, chr5_14720_right, chr7_10445_left, chr8_7536_right, chr10_5022_core, chr2_26677_left, chr2_18733_right, chr6_4980_right, chr6_8822_core, chr8_661_all
21     | GTR+G      | 2423       | d1d8e47a6be8524a40ebf7fd52debb49 | chr3_3116_right, chr3_362_core, chrz_3524_core, chr7_5167_left, chr8_4403_core, chr10_5022_right, chr5_10327_all, chr9_7434_right, chr5_15083_all, chr5_11637_right, chr5_10794_left, chr5_14389_right, chrz_7691_left, chr3_3116_left
22     | GTR+G      | 2471       | 047b766bfcd297165ce7ee29572a7b37 | chr8_8897_right, chr3_371_left, chr1_5281_core, chr6_3215_right, chr3_5552_right, chrz_14348_all, chr3_1282_right, chr2_14998_all, chr10_5678_left, chr1_28805_right, chr12_5877_core, chr5_1649_core
23     | GTR+G      | 1897       | 8c5e3ba21157e530cecc59867bc9dca3 | chr9_6343_core, chr2_5499_core, chr7_10409_core, chr10_5678_core, chr3_5748_core, chr2_22017_left, chr7_10505_left, chr1_31092_core, chr7_4777_right, chr2_11789_core, chr2_7435_core, chrz_4772_right, chr3_16820_core, chr4_11166_left
24     | GTR+G      | 860        | 75e030457a9bde00facd1b79487c36af | chr10_5678_right, chr7_10443_left, chr2_11743_left, chr19_2728_left, chr1_32307_right, chr4_8915_left
25     | GTR+G      | 2459       | 7e1f07f96df36dd4c902bf6a03b4f2c1 | chr2_7963_left, chr1_31767_right, chrz_11394_right, chr20_5160_left, chr11_3231_right, chr2_24830_left, chrz_483_right, chr13_3033_core, chr2_6728_core, chr5_1055_right, chr11_4808_all, chr6_3086_all, chr11_1757_right, chr10_5708_all, chr7_10160_left
26     | GTR+G      | 857        | b9531fc1a86cf79537e3a854c454faa3 | chr10_5739_left, chr2_19463_core, chr7_10489_right, chr1_28645_left, chr3_1300_core, chr3_19948_core
27     | GTR+G      | 357        | 83ae2955c075a205e2bb3b11d9e36835 | chrz_11272_core, chr10_5739_core, chr1_15412_right                                                  
28     | GTR+G      | 609        | 55b27195f4f63004e3bf42670c3a3893 | chr3_7131_right, chr10_5739_right, chr8_8806_all, chr11_3287_right                                  
29     | GTR+G      | 1355       | 19b1ecbf6a3ab29e94aeecd7a476f8da | chr5_11219_right, chr11_1410_left, chr9_3638_left, chr5_10120_left, chr8_4947_right, chr7_10409_right, chr3_7131_left, chr1_12668_right
30     | GTR+G      | 1233       | 621240e982f37595410385e20444c076 | chr8_141_right, chr11_1410_core, chr3_5470_left, chr6_9601_all, chr2_18926_right, chr8_310_right, chr9_3551_left, chr2_18608_left
31     | GTR+G      | 1082       | fce077454ea047415311bfbb28e6f6fc | chr8_451_left, chr2_24807_core, chrz_6644_left, chr4_17640_right, chr2_11187_right, chr11_1410_right, chrz_8179_left, chr2_25851_right
32     | GTR+G      | 2473       | e8f376ec4b397b4ac9458ae527336b9b | chr9_5181_left, chr5_11286_core, chr1_32216_core, chr6_3276_right, chr4_2423_core, chr1_22087_core, chrz_14576_all, chr2_23648_right, chr4_7258_core, chr6_9559_left, chr3_5748_right, chr8_707_right, chrz_3271_left, chr2_24773_core, chr2_17831_right, chr11_1600_left
33     | GTR+G      | 1353       | a32e8ef16e3ac730c287c9d6a5b8d22a | chr3_17712_core, chr11_1600_core, chr13_711_left, chr2_17532_core, chr1_14888_all, chr20_5193_right, chr3_5766_right
