Settings used

alignment         : ./McCormack_2013-permut-0.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 45730


Best partitioning scheme

Scheme Name       : step_11
Scheme lnL        : -1564558.63737
Scheme AICc       : 3139418.70881
Number of params  : 5102
Number of sites   : 539526
Number of subsets : 504

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 1504       | b40674bff0f39a765233815bc68f3cef | chrz_14384_left, chr7_1402_left, chr4_13367_core, chr4_7199_left, chr12_4859_left, chr2_18662_core, chrz_14552_core, chr4_15450_right, chr5_5596_core, chrz_8113_core, chr1_13025_right, chr2_18959_left, chr4_2417_core, chr7_4732_left, chr2_18630_left, chr24_1041_left, chr3_209_core, chr2_24714_core, chr6_9762_left
2      | GTR+G      | 987        | a4555a3ceae2a0fbefe3f5a7ed26908c | chr4_8645_core, chr5_2015_core, chr13_2771_right, chrz_72_right, chr12_5975_right, chr5_10859_left, chr9_6388_left, chr24_1041_core, chr13_714_right, chr2_17639_core, chrz_11525_core
3      | GTR+G      | 1780       | bb5b1a4b1b6cb4227dc3c9e68e12a55c | chr3_22983_right, chr1_25682_core, chr8_460_right, chr2_11975_core, chr1_32307_core, chr1_31769_core, chr8_5056_core, chr1_14905_right, chr2_11191_left, chr6_2686_core, chr8_4403_core, chr1_29882_core, chr1_30549_right, chr2_22620_core, chr24_1041_right, chr5_10912_core
4      | GTR+G      | 3247       | 1e168bbe71ed95f4ad1a8e65d1279e8d | chr3_5478_right, chr7_10430_left, chrz_6047_core, chr6_4118_core, chr6_1992_right, chr3_371_core, chr3_19987_left, chr2_14284_left, chr6_3228_left, chr12_2183_left, chr1_31933_right, chr3_457_left, chr1_5427_right, chr1_1362_core, chr1_28660_left, chr4_7278_right, chr8_6192_right, chr6_9838_right, chr1_35494_left, chr2_14998_core, chr8_8832_core, chr2_25879_right, chr17_3015_core
5      | GTR+G      | 818        | b2c9032df6d97224154045360dbe5390 | chr6_8064_left, chr3_457_core, chr1_27556_core, chr8_4947_left, chr3_7263_right, chrz_4759_core, chr10_4660_core, chr2_13001_core
6      | GTR+G      | 372        | 973b457eb0b925fbe5b6c6daab90c4d5 | chr1_16525_core, chr2_2210_right, chr3_457_right, chr12_2198_left, chr7_10694_left                  
7      | GTR+G      | 246        | 5b9f819933c9d83b5e4bfa1689626644 | chr4_11166_right, chr2_17606_right, chr2_9384_left, chr2_8654_right                                 
8      | GTR+G      | 2481       | 36aab2bf024f3efe704384b70ba1ffdf | chr11_3582_right, chr8_8835_right, chr2_25995_left, chr2_24787_core, chr13_2790_core, chr6_1554_core, chr6_9787_left, chr2_9384_core, chr3_17699_right, chr7_6366_left, chr20_1531_core, chr26_935_core, chr2_17606_core, chr2_14972_core, chr21_802_core, chr5_3191_left
9      | GTR+G      | 275        | d4bef4678889a05675099d5954866cc1 | chr13_1644_core, chr2_9384_right, chr3_5877_left, chr6_8800_right                                   
10     | GTR+G      | 2341       | 178f785e37fd8df720860e8704a26108 | chr2_6728_right, chr11_3427_core, chr5_11266_left, chr1_28903_core, chr3_17806_core, chr2_18724_left, chrz_11557_left, chrz_11579_left, chr2_12995_left, chr1_31654_left, chr8_4399_left, chr8_7449_right, chr3_5887_core, chrun_random_10390_right, chrz_8004_left, chr4_6508_core
11     | GTR+G      | 2960       | 8497327e2248758a1af1fe882cee78b0 | chr13_1225_core, chr3_7296_core, chr1_34724_core, chr6_9822_core, chr1_32234_right, chr6_9522_core, chrz_8004_core, chr1_35494_right, chr7_10502_core, chr3_17498_core, chr5_11783_core, chr7_8149_core, chr2_13491_core, chr6_10028_left, chr7_11423_core, chr4_10149_right, chr1_32294_core, chr2_18741_core, chr2_23608_left, chr18_1424_right, chr2_18926_left
12     | GTR+G      | 1182       | ca14ffa520326f5c2250171c4e247deb | chr2_6767_right, chr10_4599_left, chr13_720_core, chr1_14864_right, chr8_8897_right, chr6_4403_core, chrz_7497_core, chr2_14397_core, chrz_8004_right
13     | GTR+G      | 2133       | fcd51b9b5c651f9fe4eba2f13f0293e3 | chr6_10013_right, chr1_21570_core, chr1_5474_right, chr8_4030_left, chrz_7997_core, chr8_5307_core, chr1_28639_left, chr15_688_core, chrz_7497_right, chr9_5281_right, chr3_7396_left
14     | GTR+G      | 928        | b8340f69fc6b686d0a1c39bbbbb3fce7 | chr11_2305_left, chr4_7557_left, chr6_7961_right, chr6_8823_right, chr7_961_core, chr2_23124_left, chr3_21547_core, chr8_4030_core, chr2_18664_left, chr3_5815_right, chr13_2300_left, chr3_292_right, chr6_4104_core
15     | GTR+G      | 1129       | 75b37f4f522848fa1fd684273e6f0c8d | chr11_3508_left, chr4_13367_right, chr5_5596_left, chr2_4420_left, chr5_12017_left, chr1_29839_core, chr4_18946_core, chr8_4030_right, chr5_12459_left, chr1_32302_left, chr3_378_core, chr4_18946_right
16     | GTR+G      | 312        | c8cdbbae30bc63ee23475b05d0a495c5 | chr13_5324_right, chr5_1689_right, chr6_8800_left                                                   
17     | GTR+G      | 1082       | 318d9d57390ac1ddde84cd1a4f79d7b9 | chr6_8800_core, chr11_3129_core, chr8_3473_core, chr9_6325_left, chrz_11572_right, chr20_1674_core, chrz_483_left, chr2_25995_right, chrz_7936_left, chr1_31709_core, chr4_11166_core, chr1_32302_core, chr15_4186_right
18     | GTR+G      | 694        | 7445e0a528e2b74f06fe69283309aa08 | chr21_1565_left, chrz_1585_right, chr7_4702_core, chr9_3520_right, chr7_9143_left, chr9_3520_core, chr17_3035_left, chr3_2720_core, chr6_3144_left, chr1_2522_core, chr20_796_right, chr18_3123_left
19     | GTR+G      | 553        | 3b38ecf99c8c4350a32f9df504cbf097 | chr2_5512_left, chr21_1565_core, chrz_7923_right, chr8_4247_left, chr2_22071_left, chr11_3326_core  
20     | GTR+G      | 600        | 5ff97e6c142929c3a0ce7f7ec802eb6a | chr21_1565_right, chr8_9156_right, chr5_2978_right, chr5_10985_right                                
21     | GTR+G      | 1310       | 15a4c1473b63d8acd9b012a164f7ae2c | chr4_12739_left, chr8_5177_right, chr7_10160_left, chr5_2978_core, chr10_5757_core, chr7_4670_left  
22     | GTR+G      | 1822       | 3cd45e6c509e27704d1dc6a4c243ce28 | chr5_1769_core, chr4_7251_left, chr2_21409_left, chr1_27635_right, chr2_7393_core, chr10_3040_core, chr2_9120_left, chr1_29922_right, chr17_3099_core, chr1_9589_left, chr3_22949_left, chr7_4670_core
23     | GTR+G      | 788        | 17971e47e87a06e1b078d4f7f32c2767 | chr9_7150_right, chr8_4260_right, chr5_10297_core, chr7_4670_right                                  
24     | GTR+G      | 2616       | cec6823022462361b2a661249389e954 | chr7_10800_core, chr1_27559_left, chr1_5348_right, chr11_3428_core, chr5_14650_left, chr9_5180_right, chr2_27310_core, chr5_5591_core, chr3_5559_left, chr1_25407_left, chr3_2723_right, chr3_2740_right, chr24_1203_left, chr15_688_left, chr1_22025_left, chr3_5877_right
25     | GTR+G      | 1528       | 3e1037f5000e99dd16cb510a0f6a09bd | chr5_12459_right, chr1_5460_right, chr5_11247_left, chr24_1203_core, chr3_9732_core, chr1_29922_core, chr1_27641_left, chr2_7512_core, chrz_6700_right, chr11_3399_core
26     | GTR+G      | 855        | 167f8ce6512996546fe365f99929db8e | chr11_2190_right, chr3_7255_core, chr3_3118_right, chr2_7954_core, chr24_1203_right, chr2_25941_right, chr5_11168_right, chr12_2162_left
27     | GTR+G      | 4986       | 14cf6cf443fe13ef726bcc97f22a442c | chrz_5971_core, chr2_21162_left, chr1_29826_left, chr1_25705_right, chr2_4100_core, chr9_6328_core, chr11_3422_core, chr1_21570_left, chr2_23192_right, chr1_32397_core, chr1_29889_right, chr2_18589_right, chr5_11202_core, chr7_6366_right, chr4_4979_core, chr20_1164_right, chr12_3186_left, chr1_29891_core, chr2_433_right, chr3_9717_core, chr11_4756_core, chrz_11525_right, chr3_24787_left, chr2_8735_core, chr3_17438_core, chrz_1585_left, chr6_9631_core, chr3_17851_core, chr8_7348_right, chr6_7105_right, chr4_7593_left
28     | GTR+G      | 1766       | c98926c8eeebe12a8dcb7d983490b370 | chr7_4698_core, chr1_29891_right, chr12_839_left, chr1_28747_right, chr11_1549_core, chr3_9732_right, chr1_21570_right, chr1_31076_left, chr10_5708_core, chr12_5903_right, chr2_23670_core, chr20_5265_core
29     | GTR+G      | 661        | b3b0a882bcc2e6c68dfcc42e4d086ea2 | chr2_6436_right, chrz_14552_left, chr2_7970_left, chr13_187_left, chr4_1323_right, chrz_6047_right, chr4_6508_right, chr13_720_left, chr1_5478_left
