Settings used

alignment         : ./Crawford_2012-permut-6.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 34350


Best partitioning scheme

Scheme Name       : step_11
Scheme lnL        : -1217451.20877
Scheme AICc       : 2442170.76886
Number of params  : 3606
Number of sites   : 465241
Number of subsets : 359

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 2591       | e1a24102770c863c717591132998ff1e | chr1_32446_left, chr1_32302_left, chr3_2733_right, chr7_10832_left, chr20_5160_core, chr8_451_right, chr7_4896_left, chr2_18606_right, chr2_23670_core, chr2_8154_right, chr9_6343_left, chr7_4777_left
2      | GTR+G      | 2113       | f4176e21f9808be717640efffd294798 | chr6_7243_right, chr4_13277_left, chr3_5877_core, chr11_3190_core, chr4_7028_right, chr1_5479_right, chr3_2735_left, chr12_5903_core, chr6_7243_left, chr3_5766_left, chr1_32302_core, chr7_10520_left, chr3_17712_core
3      | GTR+G      | 1370       | 178ed77b62e65ad0952af6127c2be2c9 | chr5_2978_core, chr7_10160_core, chr1_28903_left, chr5_2015_left, chr5_11292_core, chrz_8159_left, chr7_5166_right, chr1_32302_right, chr1_36035_right, chrz_7923_left, chr2_27294_core
4      | GTR+G      | 1308       | 2c268ac6461b0fcd659e13263d6814af | chr24_2232_core, chr8_1333_left, chr12_5913_right, chr1_31769_right, chr5_10173_right, chr17_2957_core, chr2_18572_right, chr10_4790_left, chr4_6739_core, chr4_2423_right, chr7_10489_left, chr7_11439_right, chr6_3326_right
5      | GTR+G      | 924        | 6c3fd0d05ab9556fe73cd2c710ccb970 | chr8_8942_right, chr9_2502_core, chr7_1405_core, chr7_10613_core, chr7_10793_core, chr7_4994_core, chr4_7513_core, chr7_10489_core, chr2_17527_core, chr3_5476_right
6      | GTR+G      | 3370       | c514e6565580db8eb6ba76ec08adf030 | chr11_3108_right, chr2_23668_core, chr3_19948_right, chr3_6119_left, chrz_7936_right, chr14_715_left, chr9_5220_core, chr2_23621_core, chr6_7254_right, chr7_11485_core, chr3_5476_core, chr2_21445_right, chr3_16820_core, chr3_19948_left, chr7_10489_right, chr3_2724_core, chr1_7424_left, chr7_4601_left, chr2_7218_left
7      | GTR+G      | 2072       | 85f42a6971d8a3059acb2c598f7fc02d | chr5_11339_core, chr3_6231_right, chrz_3524_left, chr17_2957_right, chr7_5163_left, chr4_7006_core, chr17_3001_left, chr2_13064_left, chr1_3963_left, chr4_17221_left, chr1_32597_left, chr3_17607_right, chr3_2726_left, chr6_9747_right, chr2_10510_core
8      | GTR+G      | 1486       | 2a3e105754ad4cfbc71af0b3a888350b | chr3_2726_right, chr2_13449_core, chr5_10854_left, chr6_3033_core, chr1_2557_core, chr8_141_left, chr11_4789_core, chr1_2746_right, chr7_11479_core, chr2_6754_left, chr1_32363_right, chr1_32597_core, chr8_7531_core, chrz_60_core, chr5_11660_core
9      | GTR+G      | 2011       | e1e19c29b395083df85f497150177593 | chr11_6465_left, chr5_10633_core, chr1_30195_left, chr1_32597_right, chr4_4009_core, chr11_3231_core, chr21_1511_core, chr8_709_right, chr6_7950_left, chr8_9173_core, chr8_5307_left, chrz_6110_core, chr6_8786_right, chr13_2790_right, chr9_3638_right
10     | GTR+G      | 2364       | 2a7bb2791b53dcf58b08fadfae3abc88 | chr6_4403_left, chr13_3036_left, chr2_7958_left, chr3_17623_left, chr5_14679_right, chrz_7476_left, chr7_2784_left, chr8_2614_left, chr7_10865_core, chr2_13034_right, chrz_60_left, chr3_9687_left, chr8_7536_left, chr3_509_left
11     | GTR+G      | 1057       | 8b8200d5ed54671bb077f2d3af52a116 | chrz_14348_right, chr11_3414_right, chr1_14856_core, chr13_2779_right, chr3_509_core, chr6_9464_core, chr5_10135_left, chr3_7263_left, chr9_3537_right
12     | GTR+G      | 1550       | 71ef3360b83da21d6bce0c85a9b6aef7 | chr18_4493_left, chr3_5520_left, chrz_11650_left, chr2_13032_core, chr1_22335_left, chr3_509_right, chr17_2965_left, chr3_764_right, chr7_10849_right, chr3_2614_right, chr3_338_right
13     | GTR+G      | 545        | 8f29597010ec3ca465319192812bae62 | chr3_6248_right, chr24_2232_left, chrz_3328_core, chr8_659_core, chr5_3223_core, chr9_5246_core, chr2_24714_core
14     | GTR+G      | 2501       | d298f18d7eb324317f219ef5ea67e9bf | chr1_32333_core, chr6_9640_right, chr5_10846_left, chr3_19997_core, chr2_27310_right, chr1_28645_right, chr2_6444_core, chr24_2232_right, chr5_14682_left, chr3_5819_left, chr9_3551_right, chr7_4698_left, chr1_14888_left, chr1_28747_core, chr2_8786_right, chr6_3215_core
15     | GTR+G      | 2815       | 3a754805db24d33aa48f00acadb85c34 | chr2_24734_right, chr3_25156_right, chr11_3287_right, chr3_5476_left, chr8_310_right, chr3_2724_left, chr7_10882_right, chrz_6036_left, chr5_1649_right, chr8_709_left, chr2_24800_core, chr7_11485_left, chr7_6301_core, chr19_346_core, chr3_5819_core, chr5_10135_core, chrun_random_11933_left, chr3_1249_right
16     | GTR+G      | 1132       | 6772a3a79dc13f3d7488777fccfc28de | chr5_10201_core, chrz_6036_right, chr2_8688_right, chr7_6366_right, chrz_11272_left, chr2_27308_core, chr1_22430_right, chr2_23635_core, chr7_2690_left, chr1_31654_right, chr7_10316_core
17     | GTR+G      | 760        | fafcc491c160d0c1d951d0ac2eedb1b3 | chr3_5450_right, chrz_11272_core, chr20_5307_core, chr3_451_right, chr2_15019_right, chrz_11659_left, chr1_28639_core
18     | GTR+G      | 981        | 78155559333a7a5cca6d28402285a92b | chrz_11272_right, chr9_1164_core, chr5_10327_core, chr17_2984_right, chr3_457_right, chr5_3418_right, chr7_4965_right
19     | GTR+G      | 1357       | 18651b5e2bdbed407714523d6465aa0c | chr8_310_core, chr8_7440_left, chr5_11156_core, chr3_21999_right, chr3_5675_right, chr2_24704_left, chr1_8696_right, chr2_24807_core, chr5_10051_core, chr4_13330_right, chr2_7435_right, chr18_3214_core, chr8_3451_left, chr8_5049_left, chr4_11166_left, chr1_31648_core, chr5_11219_left, chr1_5509_core
20     | GTR+G      | 1929       | 59e4302b4023db2de88fbce7bf13a66b | chr10_4758_core, chr8_8897_right, chr5_10239_left, chr1_7424_right, chr5_14682_right, chr5_11541_left, chr2_23648_right, chr2_22017_core, chr2_22041_core, chr7_5163_right, chr17_2963_core, chr7_10793_right, chr1_5478_right, chr7_6327_left, chr8_7440_core
21     | GTR+G      | 439        | 2d4a4cfd50916e64d38fe8070c47d2c3 | chr8_7440_right, chr2_24734_core, chr2_27968_right, chr3_11854_right                                
22     | GTR+G      | 1933       | c251eaafa83df2b82d5aebbef00d3d53 | chr2_24910_right, chr2_9384_core, chr7_10555_left, chrz_6110_left, chr11_3556_right, chr2_24947_core, chr2_24830_core, chrz_6727_right, chr7_4726_core, chr4_6701_left, chr5_2308_right, chr3_5552_left, chr5_2017_right, chr5_11266_right, chr1_20864_core
23     | GTR+G      | 2101       | 05fa01c34befdee38c9655ef7a82fc8c | chr3_13404_right, chr8_1574_right, chr14_3723_left, chr3_362_core, chr2_25261_right, chr3_6277_core, chr7_9078_right, chr1_19885_right, chr3_5552_core, chr8_8806_right, chr1_32194_right, chr6_3086_core, chr3_24903_left, chr17_2957_left
24     | GTR+G      | 4541       | 75c077875d2201b42dbe620ec3aaccaa | chr5_11245_core, chr6_7862_core, chr5_1840_right, chr3_9700_right, chr7_10494_right, chr6_9625_left, chr17_1772_core, chr5_3405_core, chr5_11146_right, chr3_576_right, chr3_362_right, chr8_9158_right, chr5_1674_right, chr5_11258_right, chr6_3326_left, chr3_9719_left, chr3_2740_left, chr6_3116_right, chr1_5453_left, chr2_22620_left, chr7_10269_right, chr3_5552_right, chr2_24707_right, chr3_5478_left
