Settings used

alignment         : ./McCormack_2013.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 45730


Best partitioning scheme

Scheme Name       : step_10
Scheme lnL        : -1521667.36068
Scheme AICc       : 3055310.18991
Number of params  : 5922
Number of sites   : 539526
Number of subsets : 586

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 843        | c84fb70bc6678934e6e9d1fb08ab9b40 | chr2_8051_right, chr4_13362_left, chr24_1041_left, chr9_6300_left, chr3_5777_left, chrz_483_left, chr12_5730_right, chr4_7423_right, chr5_14666_right, chr2_24822_right, chr5_15939_right, chr8_4947_right, chr8_3358_left
2      | GTR+G      | 1784       | 9741cf0b6dcae1aaea2ea98971e3f34f | chr1_13025_core, chr5_3310_right, chr5_11359_core, chrz_67_core, chrz_3515_core, chr18_2706_left, chr1_32301_core, chr24_1041_core, chr1_5442_core, chr13_1644_left, chr1_14864_right
3      | GTR+G      | 507        | 480d4b88e874e7632552aead857bad38 | chr4_7243_right, chr4_11110_core, chr24_1041_right, chr2_7959_left, chrz_11572_right, chr2_21278_left, chrz_72_right
4      | GTR+G      | 322        | 98ba0d59028f9d9e29a34810b4ce368a | chr6_6012_right, chr3_457_left, chr2_23160_right, chr15_671_right, chr1_15118_core, chr11_3108_core 
5      | GTR+G      | 2089       | 5ec0ab3b82074f8b10f608ec2541a530 | chr3_17699_core, chr6_3284_core, chr11_3447_all, chr2_18733_core, chr1_25682_core, chrz_11557_core, chr3_457_core, chr3_2740_core, chr1_29889_core, chr4_8915_core, chrun_random_5734_right, chr24_2269_right
6      | GTR+G      | 1591       | 1a212ec37f51cb14ec47f598f24c96de | chr2_16700_core, chr7_961_core, chr7_9558_core, chr19_2433_core, chr1_5478_core, chr3_457_right, chrz_3271_left, chr6_9760_left, chr5_5859_core, chr1_31914_core, chr6_9804_core, chr6_9474_right, chr1_1098_right
7      | GTR+G      | 932        | 1fe0e65fa24775dced3b68f3457f3437 | chr17_3028_right, chr3_3067_right, chr4_10540_left, chr7_8149_right, chr11_1678_right, chr2_9384_left, chr3_17883_left, chr1_5297_left, chr3_5441_core, chr1_28859_right, chr8_1574_right, chr22_865_right, chr1_32307_left, chr8_2110_right, chr6_4103_left, chr11_4723_left
8      | GTR+G      | 1554       | 4696da49d862f27a5190327508f1c46a | chr7_1380_left, chr2_11191_left, chrz_6644_core, chr3_1249_core, chr1_15480_right, chr2_24784_right, chr4_16026_right, chr2_30204_left, chr8_6862_all, chr2_9384_core, chr3_18703_left, chr2_14426_core, chr8_707_core, chr1_31092_right, chr2_4395_left, chr4_10898_right, chr11_1757_core
9      | GTR+G      | 622        | 1d6c72e4ecea4e456c76ba2326ec3275 | chr1_29817_left, chr2_9384_right, chr7_11510_right, chr5_15073_right, chr20_5160_core, chr21_1612_right, chr5_12017_core, chr2_14998_core
10     | GTR+G      | 1163       | 54de9508fa1b5a3de221d4fdd381554c | chr1_32309_core, chr3_7243_left, chrz_8004_left, chr1_19227_right, chr8_4221_right, chr2_22177_right, chrz_6036_left, chr1_32424_right, chr13_2779_right, chr8_7335_left, chr2_24662_right, chr8_460_left
11     | GTR+G      | 1451       | a813fab8e6ba92ac364c1f06efc22ce2 | chr2_23124_core, chr1_31727_left, chr2_13044_right, chr1_5460_left, chr2_17641_right, chr1_24864_core, chr6_3265_right, chr6_9522_right, chr6_3228_left, chr8_2614_left, chr9_1949_right, chrz_8004_core, chr13_187_core, chr3_14143_right, chr1_5316_core
12     | GTR+G      | 2414       | 1e7043d76082884a7595fcae19f30b40 | chr2_9120_left, chr2_7934_left, chr2_17801_left, chr1_20864_left, chr5_3407_core, chr1_32424_left, chrz_7901_right, chr1_32461_right, chrz_1585_right, chr1_5495_right, chr8_3308_left, chrz_8004_right, chr5_11266_right, chr3_19987_left, chr1_15480_left, chr5_10327_right, chr2_5482_left, chr6_4403_left, chr2_25995_right, chr3_7255_right, chr2_5401_right, chr8_199_left, chr3_23027_core, chr2_21376_left, chrz_11525_right, chr2_5486_left
13     | GTR+G      | 2459       | 8faaa884aca4af68ad6597e4ba06abc0 | chr2_21265_right, chr7_10849_right, chr5_14684_core, chr17_3113_core, chr8_9156_core, chr8_4030_left, chr3_21547_right, chrz_7889_right, chr6_10013_right, chr3_18428_left, chr5_11258_core, chr1_22335_right, chr1_21570_core
14     | GTR+G      | 826        | 81778b63a896311802fc311ed5485b9f | chr2_18630_left, chr8_4030_core, chr1_28903_core, chr20_1656_left, chr2_4420_left, chr2_12977_left, chr9_5281_left, chrz_7824_left, chr5_14781_left
15     | GTR+G      | 2833       | fea8faf8ba7d7a06be8b6c7e4eec9b61 | chr4_7243_core, chr2_22620_core, chr8_4030_right, chr7_3146_core, chr7_4715_core, chr4_10540_core, chr2_18677_right, chrz_11372_right, chr1_28846_right, chr2_7982_right, chr2_17644_core, chr2_23670_right, chr7_10613_core, chr18_1422_core, chr2_22628_left, chr11_3471_core
16     | GTR+G      | 750        | 29e13d1535f18a1f586302af64279cda | chr2_25881_right, chr6_4980_left, chr8_6192_left, chr12_5897_core, chr5_10174_left, chrz_6778_right, chr2_2938_right, chr7_10779_right, chrz_467_left, chrz_6062_core, chr6_9493_right, chr1_24864_right, chr6_8800_left
17     | GTR+G      | 1197       | 088f8d528e7bce0108e12cc0f0f34818 | chr5_17281_right, chr6_8800_core, chr10_4435_right, chr2_29129_left, chr2_26639_left, chr2_21324_right, chr11_2305_left, chr2_8698_left, chr10_3040_core, chr11_3545_right, chr6_3293_right, chr3_7263_left, chr1_18757_core
18     | GTR+G      | 1852       | 9e125efe14536ff0c7d538f98342564d | chr2_21409_right, chr4_15450_left, chr4_10598_left, chr11_1787_left, chr5_10912_right, chr22_640_left, chr5_17281_left, chr11_3419_right, chr7_1669_left, chr8_8832_right, chr6_3326_left, chr5_10297_left, chr2_23651_left, chr2_24947_right, chr2_23507_left, chr11_3318_left, chr2_12877_right, chr1_16525_left, chr9_6320_right, chr15_672_left, chr15_3386_left, chr7_9078_left, chr6_8801_left, chr5_12835_left, chr6_8800_right, chr20_5307_core
19     | GTR+G      | 100        | 37d47b06b8aac2065ac3ebeb7513a348 | chr3_6203_right, chr21_1565_left                                                                    
20     | GTR+G      | 2009       | 9c95010e5f45ab633a992992c272669c | chr3_3118_left, chr12_3113_all, chr3_16816_core, chr21_1565_core, chrz_6700_core, chrun_random_5910_core, chr6_9536_core, chr2_12822_right, chr19_329_core, chr3_6124_right, chr2_17686_core, chr3_5559_right, chr7_5228_right
21     | GTR+G      | 156        | 10ac79a1faf09207f210d8395cce959f | chr6_2724_left, chrz_6700_left, chr21_1565_right                                                    
22     | GTR+G      | 605        | cf8bf205539dadede3220ad4a3d97eb7 | chr2_18578_left, chr2_12816_right, chr1_34775_right, chr17_2991_left, chr1_9746_core, chr7_4670_left, chr7_4965_left, chr2_21402_right
