Settings used

alignment         : ./Crawford_2012.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 30910


Best partitioning scheme

Scheme Name       : step_8
Scheme lnL        : -1200755.92123
Scheme AICc       : 2410041.33817
Number of params  : 4226
Number of sites   : 465241
Number of subsets : 421

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 202        | ad6eb97085cb2b5271e46fc2ad2b3bf5 | chr3_19997_left, chr10_2828_left                                                                    
2      | GTR+G      | 3054       | 37e0a612d9c5a686d554f450c00612b4 | chr2_24859_core, chrz_6727_right, chr1_14872_right, chr1_22334_core, chr2_18714_core, chr8_1333_core, chr4_9240_all, chr7_4601_core, chr1_14909_right, chr8_5150_core, chr3_17860_core, chr2_17818_core, chr2_5499_core, chr9_6414_core, chrz_13094_core, chr3_5748_core, chr12_5837_core, chr1_31095_right, chr10_2828_core
3      | GTR+G      | 564        | 12beaff4a01f5d532db3ea2b9ab1b0ce | chr4_10251_core, chr10_2828_right, chr6_4059_left, chr1_7424_all                                    
4      | GTR+G      | 1978       | e1854d1289c624335d912154ec992c57 | chr3_1282_core, chr5_3213_left, chr2_18677_left, chr10_4312_all, chr2_8629_right, chr3_5587_right, chr3_576_left, chr1_5338_core, chr6_9464_right, chr1_14872_left, chr6_4403_left, chr5_2947_right, chr2_11725_right, chr7_6238_left, chr2_6794_left, chrz_7426_left, chr2_25851_right
5      | GTR+G      | 1773       | 96c82df40c3efd76a1697bd559faeb04 | chr4_9731_left, chr1_31654_left, chr1_5316_core, chrz_11457_right, chr2_22605_left, chr2_8145_left, chr10_4575_left, chr7_10160_left, chr7_6205_left, chr11_3232_left, chr2_11804_left, chr1_28846_left, chr3_21577_right, chr2_17666_right, chr2_7915_left
6      | GTR+G      | 1524       | e8b202e037bb3e269e0eac0b500e25bd | chr20_2151_all, chr7_5167_left, chr4_18946_all, chr7_11446_right, chr1_14909_core, chr11_3318_left, chr2_6336_core, chr10_4575_core, chr19_354_core
7      | GTR+G      | 719        | 7bfbc8a0d9a49627200daf1cabd22b30 | chr6_9776_left, chr13_2790_left, chr10_4575_right, chr1_8696_right, chr2_21466_left, chr5_12015_left, chr12_5903_left
8      | GTR+G      | 3174       | ac7af4849357b14f9147c61b0b8024b2 | chr3_17712_left, chr1_19885_core, chr10_4599_left, chr9_5205_right, chr2_24910_right, chr8_3445_right, chr11_3432_left, chr6_9069_right, chr1_28694_left, chr1_5468_right, chr3_5877_right, chr5_11541_left, chr1_28671_right, chr3_17851_core, chr3_5573_all, chr3_7251_right, chr8_5150_left, chr2_21373_left, chrz_5682_all, chr13_187_right, chr2_24766_left, chr2_5512_left, chr13_2821_right, chr2_8655_right
9      | GTR+G      | 1926       | 1eefac7c145b3f360ad2464ad0cf0239 | chr1_32247_left, chr2_18572_right, chrun_random_11933_right, chr2_7180_core, chr2_6444_right, chr3_576_right, chr10_4599_core, chr6_9024_all, chr8_2110_core, chr2_21402_core, chr5_10912_core
10     | GTR+G      | 776        | 19d14e073deea4d963457c8c928f6a9f | chr10_4599_right, chr3_17860_left, chr8_5056_right, chr3_3067_left, chr9_3633_left, chr2_24761_left 
11     | GTR+G      | 1992       | 49e9a4476fd9ed3abe28dc31ff8e4798 | chr1_32597_core, chrz_6036_right, chr10_4660_all, chr5_10052_right, chr11_1962_left, chr8_709_right, chr8_451_right, chrz_1319_left, chr8_8835_left, chr4_8888_right, chr3_7296_all, chr4_7282_left
12     | GTR+G      | 1030       | 0cb9969ca81639808f82fc2e238a9ab3 | chr2_21303_right, chrz_4757_core, chr3_371_right, chr3_17885_right, chr7_6327_left, chr10_4748_left, chr11_3231_left, chr1_5213_core, chrz_3524_left, chr11_2599_right
13     | GTR+G      | 1457       | 7fd948f37d30ea472c4fe51a233ad1f4 | chr2_23099_right, chr5_11797_left, chr9_5129_right, chr3_21999_all, chr10_4748_core, chr7_11511_left, chr6_10013_left, chr3_6115_right, chr22_640_right, chr1_32446_left, chrz_13094_left, chr3_3828_core
14     | GTR+G      | 1994       | 115466a0e97ae1dd252349e0ec451c13 | chr5_10047_right, chr2_6767_core, chr10_4748_right, chr6_6012_core, chr2_24734_core, chr11_4777_core, chr7_2784_core, chrz_11457_core, chr7_11479_left, chr4_4979_right
15     | GTR+G      | 1461       | b42d2e23674c0ef29a50df4c065532e8 | chr7_4698_right, chrz_6690_left, chr2_11525_all, chr6_3116_right, chr1_32333_right, chr2_9384_left, chr10_4758_all, chr17_2957_all
16     | GTR+G      | 879        | 417b7912c4035470444eeea5c1376b5e | chr2_11743_right, chr4_17640_left, chr2_13027_left, chr9_3289_left, chrz_3112_right, chr1_14389_core, chr10_4790_left, chr12_5877_left
17     | GTR+G      | 2028       | b5758d256679145b03b0c7b2a6e85e1d | chr13_2847_right, chr19_362_core, chr2_18686_all, chr8_659_all, chr3_2724_right, chr9_5218_core, chrz_4772_right, chr2_9384_right, chr17_2963_right, chrz_14313_core, chr10_4790_core, chr1_29826_left
18     | GTR+G      | 830        | 6e891cff578f3da1cf57ee26373b94a2 | chr11_3419_left, chr7_4732_right, chr10_4790_right, chr6_9559_left, chr2_27825_left, chr5_1771_left, chr9_6328_left
19     | GTR+G      | 533        | d4c082bd1a85a9e4e7c02f05cce9bb40 | chr5_1701_left, chr4_14147_left, chr8_310_left, chr7_9558_core, chr10_5022_left                     
20     | GTR+G      | 2053       | 0f023dbf5b30fd9d302e8b65008cb8a6 | chr3_520_core, chr5_2978_right, chr20_1620_core, chr3_18703_right, chrz_8501_all, chr3_451_left, chr18_1424_right, chr10_5022_core, chr4_11164_left, chr5_10180_right, chr4_7006_left
21     | GTR+G      | 4619       | 703b7403e0921e31ee03c9a7ccddefda | chr5_14389_left, chrz_8159_right, chr6_4410_left, chr2_4311_core, chrz_8179_right, chr5_10184_left, chrz_467_core, chr9_5277_left, chr2_25941_core, chr8_8938_core, chr11_3232_core, chr10_5022_right, chr6_9822_core, chr3_1300_core, chr2_24761_right, chr2_21303_left, chr7_6598_all, chr2_17527_right, chrz_467_right, chr2_22077_core, chr5_1055_right, chr4_13362_right, chr2_23635_left, chrz_7416_left, chr13_2790_core, chr8_8942_left, chr6_9640_right
22     | GTR+G      | 2736       | 58b2098f1f1718d75a814bcf6279616f | chr2_18665_all, chrz_4763_core, chr10_5678_left, chr2_17527_core, chr2_2147_core, chr5_14682_all, chr18_1424_core, chrz_60_core, chr5_1769_all, chr7_10865_core, chr5_3213_core, chr7_10754_right, chr5_14864_core, chrz_6644_right
23     | GTR+G      | 1484       | 4b85199ec9bc9be1e26b00eb72d3e61b | chr3_23724_right, chr1_25693_right, chr7_4994_left, chr10_5678_core, chrz_4759_left, chr1_5479_left, chr12_5877_core, chr7_11467_right, chr2_23648_right, chr5_1757_core
24     | GTR+G      | 772        | 0efb26045528d0bc3c9d7a9698d40fe9 | chr9_5239_core, chr10_5678_right, chr7_4670_right, chr7_10494_right, chr2_21299_right, chr2_18714_left
25     | GTR+G      | 3109       | cf3f92eb17c213ab8055d5895f1d0af1 | chr1_5474_left, chr6_3291_left, chr2_21303_core, chr5_10841_left, chr8_1333_left, chr2_21462_core, chr3_5552_right, chrz_60_right, chr11_4808_all, chr7_5166_left, chr3_17991_all, chr3_25095_right, chr5_11214_right, chr2_7976_left, chr2_24714_left, chr7_10603_left, chr2_27310_left, chr10_5708_all, chr2_22050_left, chr1_31095_core
26     | GTR+G      | 2087       | 92c4c56f83fabcb1e1da371af7a53722 | chr13_2779_right, chr3_17885_left, chr10_5739_left, chr2_14319_core, chr11_3190_left, chr6_9640_left, chrz_483_right, chr1_32294_all, chr8_141_core, chrz_7833_right, chr2_17639_left, chr3_18148_left, chr6_4980_right, chr1_14899_left, chr12_5923_left
27     | GTR+G      | 2353       | 0645aa12020d3365fd7e5c28256ed580 | chr3_17666_core, chr6_4125_all, chr6_5980_core, chr10_5739_core, chrz_4840_core, chr7_5167_core, chr1_22430_core, chrz_6735_left, chr19_329_all, chr2_18144_all, chr2_22059_right, chrz_6615_left, chr8_4014_all
28     | GTR+G      | 1204       | f64b25eafe0bd3367f46e5d193ecdeb9 | chr10_5739_right, chr6_8017_left, chr15_2006_all, chr4_8796_all, chr2_24825_left, chr2_5512_right   
29     | GTR+G      | 2677       | ca68da08809225d1f6f76a417e860f3e | chr3_5767_left, chr2_14247_left, chr3_19948_right, chr13_2920_right, chr2_24704_left, chr3_2737_left, chrz_4736_left, chr2_18664_left, chr11_4789_right, chr8_4947_right, chr3_7131_left, chr7_10340_left, chr3_3177_left, chr5_10096_right, chr7_10302_left, chr11_1410_left, chr12_5730_left, chr1_30659_right, chr2_23281_core, chr8_3451_left
30     | GTR+G      | 99         | 0416ddd0030a35dbe27c5da4fc9ec9e7 | chr11_1410_core                                                                                     
31     | GTR+G      | 2894       | c8b9fea13c3909fbe591ba0c7dcadfdf | chrz_11650_core, chr9_5246_left, chr2_22628_left, chr2_22071_right, chrz_4772_left, chr3_1249_left, chr1_34773_right, chrz_10754_right, chrz_11477_core, chr11_1410_right, chr11_1757_right, chr6_3228_left, chr2_21314_left, chr1_29891_right, chr6_9807_right, chr1_32363_right, chrz_8179_core, chr5_1649_right, chr4_6778_right, chr4_7551_left, chr7_11510_right, chr17_2963_core
32     | GTR+G      | 2624       | 0d70ab34ee4d1f516deefaa23684e099 | chr1_28639_left, chr3_5748_right, chr7_4728_left, chr5_10260_right, chrz_10804_core, chr7_5167_right, chr7_11510_core, chr11_1600_left, chr2_9170_core, chr6_7868_right, chr2_17831_right, chr1_31092_left, chr4_9320_right, chr5_1701_right, chr6_3326_core, chr2_14269_left, chr7_4715_right, chr2_7957_right
33     | GTR+G      | 1292       | 2d81db7995c8aec012ff27c48f37dff2 | chr11_4723_core, chr5_1055_core, chr11_1600_core, chr2_7435_core, chr7_10409_core, chr5_10164_core, chr9_1164_core, chr6_3257_core
34     | GTR+G      | 1915       | b27fe25fa8e1f708838fc3890757b284 | chr2_18619_left, chr3_371_left, chr3_18256_core, chr2_18572_core, chr5_1840_left, chr4_15987_core, chr12_5913_left, chrz_10804_right, chrz_11659_core, chr11_1600_right, chr3_17885_core, chr4_19912_left
35     | GTR+G      | 1449       | e811c28ca856ec8c71a8262e7b499308 | chr11_1757_left, chrz_14545_all, chr6_6012_right, chr4_11164_right, chr6_8822_right, chr3_520_right, chr4_2423_right, chr4_19912_core
36     | GTR+G      | 1679       | 1251c3ee4e4ec5838deee6d60f9b9960 | chr2_12867_right, chr5_18035_left, chr11_1757_core, chr3_2740_left, chr8_4125_left, chr19_346_left, chr5_11637_right, chr8_4063_left, chr5_3213_right, chr6_7862_core, chr3_19987_all, chr2_11806_left, chr1_14993_right, chrz_3524_core
37     | GTR+G      | 636        | 12a40d794c833482b8274b4ac6dbe427 | chr1_32389_left, chrz_4747_core, chr11_1787_left, chr2_7393_left, chr6_5958_left, chr20_309_right   
38     | GTR+G      | 2220       | 2661a99377edadd23b9514ec7b6930ac | chr11_1787_core, chr8_8897_right, chr7_5163_right, chr1_22430_left, chr2_9170_left, chr3_5766_right, chr9_5239_right, chr9_1157_core, chr11_3190_right, chr2_23621_right, chr2_12867_left, chr3_17712_core, chr22_866_right, chr2_6444_core, chrz_6362_left, chr2_8154_left
