Scheme Name       : start_scheme
Scheme lnL        : -1222103.76486
Scheme AICc       : 2467719.02799
Number of params  : 11466
Number of sites   : 465241
Number of subsets : 1145

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 376        | 52f6cd05da2d4664c0ac91ae10757346 | chr10_2828                                                                                          
2      | GTR+G      | 251        | c0da1eb5008dd39d30dd33ea2e558f9c | chr10_4312                                                                                          
3      | GTR+G      | 433        | 62de224c6e9ec31b741e0917c529a39e | chr10_4575                                                                                          
4      | GTR+G      | 414        | 0a9b3257769da5081a159666b06cb089 | chr10_4599                                                                                          
5      | GTR+G      | 294        | c832079c8a076d3972118cec4e4e4d51 | chr10_4660                                                                                          
6      | GTR+G      | 645        | 4dc7f1024f234af058672c89d3be6c6c | chr10_4748                                                                                          
7      | GTR+G      | 282        | 6bfbfe75d6bff335a54d881ae1f02f45 | chr10_4758                                                                                          
8      | GTR+G      | 448        | e08ac066e054e1fd66bf92e14c800f08 | chr10_4790                                                                                          
9      | GTR+G      | 333        | 15b7d6aecaf63ced97b3245d3fc3a27e | chr10_5022                                                                                          
10     | GTR+G      | 472        | 5fd3433b7fbdfcadead168f5351448af | chr10_5678                                                                                          
11     | GTR+G      | 286        | 405e7cf2e5bd66f70217e1d98863214a | chr10_5708                                                                                          
12     | GTR+G      | 334        | 167d607cdc691ef470a81087d5b92331 | chr10_5739                                                                                          
13     | GTR+G      | 463        | 4e7e2eddf023dc13542f0887fbdc7a4a | chr11_1410                                                                                          
14     | GTR+G      | 436        | d0371025b8cfaa389025e9d5a48a7f4f | chr11_1600                                                                                          
15     | GTR+G      | 319        | 635454392bc9bcf17c36bf85707f00c8 | chr11_1757                                                                                          
16     | GTR+G      | 325        | 424eacba4519e8e8bff832fc70538c87 | chr11_1787                                                                                          
17     | GTR+G      | 529        | fe0363591d3eabeef9cb6be2fe422780 | chr11_1962                                                                                          
18     | GTR+G      | 407        | fcd721d3642ca4f0d5c0010d99bd055b | chr11_1999                                                                                          
19     | GTR+G      | 386        | 401c8be805fe3f7f5eb8557f49915ba8 | chr11_2599                                                                                          
20     | GTR+G      | 517        | 12dbda8c03243717fdcf6900669521b0 | chr11_3108                                                                                          
21     | GTR+G      | 488        | 738c536ead7cf654c3297f9dcdd6cf70 | chr11_3186                                                                                          
22     | GTR+G      | 384        | 58121325a10311c80749983820433bf5 | chr11_3190                                                                                          
23     | GTR+G      | 354        | 4953d2aa1a66295d28cbc63f0e09b764 | chr11_3231                                                                                          
24     | GTR+G      | 397        | 9379c8c3ed48d1a51d305e14769c9027 | chr11_3232                                                                                          
25     | GTR+G      | 354        | 081567e7df10900b577ff93dae698548 | chr11_3250                                                                                          
26     | GTR+G      | 368        | c51763c1957d55005c161205e48b959a | chr11_3287                                                                                          
27     | GTR+G      | 315        | 4d59a7e05eccfd2b3882f7ccab25ef64 | chr11_3318                                                                                          
28     | GTR+G      | 511        | 726fca0a1ebaf72c1301573149ab016e | chr11_3345                                                                                          
29     | GTR+G      | 455        | 6d8731c524e6a478770a7a1188550a15 | chr11_3414                                                                                          
30     | GTR+G      | 452        | 3ed19cd49b81b5fc9c8cae2cdfdca924 | chr11_3418                                                                                          
31     | GTR+G      | 304        | fcc892cd387ca800e78289702398ff48 | chr11_3419                                                                                          
32     | GTR+G      | 274        | 0896adb75b33aed04961b3253c33d653 | chr11_3420                                                                                          
33     | GTR+G      | 370        | 38d22c1f90e3886c58ccf9a6208d5d74 | chr11_3422                                                                                          
34     | GTR+G      | 486        | 77d9b27418a5dc3cf02453ba62904478 | chr11_3428                                                                                          
35     | GTR+G      | 432        | f63e7b797c4093d4dd9448ee647eb93b | chr11_3432                                                                                          
36     | GTR+G      | 245        | 380d9e30ab0d315c81f85f5f5bb012e5 | chr11_3447                                                                                          
37     | GTR+G      | 315        | 09ade10972cf42094897da28ac34d453 | chr11_3489                                                                                          
38     | GTR+G      | 374        | e6a1e51e74d4a9fd8823741ed0b4a690 | chr11_3508                                                                                          
39     | GTR+G      | 419        | 59e7e700bdf8acd5d8cd1c96eece24c7 | chr11_3556                                                                                          
40     | GTR+G      | 611        | 9018a0df97bf3df9c7badfcd30cd469d | chr11_3582                                                                                          
41     | GTR+G      | 343        | 069b4ff370e5ebfdf7bfc4eef342a38a | chr11_4723                                                                                          
42     | GTR+G      | 392        | 9f6390aae0660fcac2b2a91a3eb25a9d | chr11_4777                                                                                          
43     | GTR+G      | 447        | 98a1027ff8cea753fbcf4fa9369c2be6 | chr11_4789                                                                                          
44     | GTR+G      | 288        | 5484ab4372af875200f43ef650178199 | chr11_4808                                                                                          
45     | GTR+G      | 471        | 200b24aac3a30514e4c3cf3ce6073f39 | chr11_5062                                                                                          
46     | GTR+G      | 339        | 63597bdf6e56890d7243439feca2e817 | chr11_6409                                                                                          
47     | GTR+G      | 208        | b9474edff919a4d9e2918f217fc81ad6 | chr11_6443                                                                                          
48     | GTR+G      | 341        | 99c69e922a144e68e7f37164a0c00046 | chr11_6465                                                                                          
49     | GTR+G      | 505        | 42f0164ab285c62e47a8f5b99d6c5c26 | chr12_1169                                                                                          
50     | GTR+G      | 533        | 4ac4784f220fd041145f5ffa5775ff62 | chr12_1611                                                                                          
51     | GTR+G      | 249        | 82f9b3fa7d054d6a3b487a74518eb7a9 | chr12_2213                                                                                          
52     | GTR+G      | 434        | 66efa3f4c88b66ae3036dc39fb1442b5 | chr12_3865                                                                                          
53     | GTR+G      | 321        | bbbc22e100fc961ebfc8038ab6dafff1 | chr12_4543                                                                                          
54     | GTR+G      | 417        | b78bddf24e2866e43697e52f38d44766 | chr12_4859                                                                                          
55     | GTR+G      | 471        | 76ccc2ed8a7e299ccc55f46b9864fe85 | chr12_5678                                                                                          
56     | GTR+G      | 561        | 117351b0bbaa282b9cfd230ec2e25077 | chr12_5730                                                                                          
57     | GTR+G      | 405        | f6b843cbf1de1bd69add84e4df4e4ca5 | chr12_5828                                                                                          
58     | GTR+G      | 402        | dd8886f5f2dd769130e8ef17d83af3d3 | chr12_5837                                                                                          
59     | GTR+G      | 486        | 5d3ae3cb8ffeed6f17335d9c920be136 | chr12_5877                                                                                          
60     | GTR+G      | 413        | fcfbdc32dbdea115d8ee05938c489f16 | chr12_5878                                                                                          
61     | GTR+G      | 425        | 648a1b2d86e6bb2023190d59b25d3efd | chr12_5897                                                                                          
62     | GTR+G      | 418        | 8087abac7e4b9a2cd85c49b58b7cd1ac | chr12_5903                                                                                          
63     | GTR+G      | 291        | 020e8090f81e30b09a3a4927aa3d7469 | chr12_5908                                                                                          
64     | GTR+G      | 487        | ab4ac2920f682508ddecf8e812333f65 | chr12_5913                                                                                          
65     | GTR+G      | 442        | bbfabe19b9498b2aa0629f4d8a297cdc | chr12_5923                                                                                          
66     | GTR+G      | 315        | 27a066fd039c41badae0c7dbee800c51 | chr12_5938                                                                                          
67     | GTR+G      | 444        | 610ec797645045a29eeedcbe9ed0bfe1 | chr12_5970                                                                                          
68     | GTR+G      | 213        | e5acc9535ca5f8557d343203e9a664ca | chr12_5975                                                                                          
69     | GTR+G      | 494        | 1f13a41b1ddeb7806f29629118b8dfd7 | chr12_5983                                                                                          
70     | GTR+G      | 541        | eb2adc30f6d920ff619957d3883b8b3c | chr12_6056                                                                                          
71     | GTR+G      | 416        | 68a5b9714d150d88fe83a6c99a5acc92 | chr13_187                                                                                           
