Settings used

alignment         : ./McCormack_2013.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 45730


Best partitioning scheme

Scheme Name       : step_11
Scheme lnL        : -1537842.03789
Scheme AICc       : 3088232.34485
Number of params  : 6202
Number of sites   : 539526
Number of subsets : 614

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 543        | b27d3dba6f980022a1c1da6ded193a42 | chr5_5859_right, chr7_10779_left, chr24_1041_left, chrz_6778_core, chr5_11269_left, chr6_9502_left  
2      | GTR+G      | 982        | 5045bee7eacc0dc20439b00a84573f52 | chr2_14319_left, chrz_3328_right, chr1_5442_core, chr7_10754_left, chr11_6443_right, chr1_32424_core, chr24_1041_core
3      | GTR+G      | 392        | 50159e7f90e275c6d65868055199163f | chr3_13259_core, chr5_12349_right, chr20_2437_left, chr24_1041_right                                
4      | GTR+G      | 400        | 75d3f42fa32edcadc2402140c269dbc9 | chr8_6876_right, chr5_10052_left, chr3_457_left, chr1_37895_left, chr2_24823_right                  
5      | GTR+G      | 720        | 339082299a1c0e4d875b49bf654ba371 | chr2_23113_core, chr3_19987_core, chr2_6746_right, chr6_3324_left, chr4_7006_right, chr1_14899_right, chr3_457_core, chr12_5828_core
6      | GTR+G      | 1599       | 7a6a2fa3b0dade7c46f8324404468504 | chr13_711_core, chr6_3100_right, chr1_35494_core, chr6_4125_core, chr5_11219_core, chr17_3088_left, chr1_12757_core, chr2_23595_core, chr2_3186_core, chr3_457_right, chr8_7440_core
7      | GTR+G      | 677        | 538ad0b471b24eea62c5ee1509dcb2db | chr21_1612_left, chr15_3386_core, chr2_9384_left, chr13_2800_core, chr5_10912_core, chr4_13410_left, chrz_7824_core, chr3_20632_core
8      | GTR+G      | 1380       | 3d162b97465f62ca954fdb840fe53e5a | chr2_12928_left, chr3_576_left, chr2_21313_core, chr8_2614_core, chr6_8033_left, chr2_9384_core, chr2_25860_left, chr7_10675_left, chr5_10797_left
9      | GTR+G      | 807        | 63357e2afcb9898e735e1a358ec799f3 | chr2_9384_right, chr9_6291_left, chr5_14666_left, chr12_4212_core, chr6_9738_left, chr2_13491_core, chr18_1500_core, chr5_11167_core
10     | GTR+G      | 1179       | 2b4930b01ab8cde9752319a93ce32ead | chr4_10149_right, chr11_6443_left, chr2_13034_right, chr2_5482_right, chr5_11822_left, chr8_3308_left, chrz_8004_left, chr9_3551_right, chrz_7418_left
