Settings used

alignment         : ./McCormack_2013.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 45730


Best partitioning scheme

Scheme Name       : step_10
Scheme lnL        : -1521327.9812
Scheme AICc       : 3054651.87776
Number of params  : 5932
Number of sites   : 539526
Number of subsets : 587

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 615        | 35a6ae51f7fba5571d8321dbe543e773 | chrz_3148_right, chr17_3113_left, chr2_16467_right, chr7_10865_right, chr2_7523_left, chr8_6631_left, chr1_9142_left, chr24_1041_left, chr20_1666_left
2      | GTR+G      | 3739       | 0bce955093d6eb7d88845d936a4405c8 | chr20_1611_core, chr2_24947_core, chr4_4926_core, chr9_3566_core, chr12_5702_core, chr10_5757_core, chr1_27641_core, chr1_32429_right, chr8_4221_core, chr6_9574_left, chr14_888_core, chr8_7015_left, chr24_1041_core, chrun_random_7943_core, chr1_16170_left, chr13_1644_left, chr9_6547_right, chr13_707_core, chr2_7512_core, chr1_24978_core
3      | GTR+G      | 512        | cec9dadffb478e22e617251ad9bcd9e3 | chr24_1041_right, chr2_19349_left, chr1_31648_left, chr3_3067_left, chr3_22983_left, chrz_11579_right
4      | GTR+G      | 695        | 3521a139aff6dae1e4df0aa3db5c9d8e | chr17_3099_left, chr9_3638_left, chr3_226_right, chr4_7199_left, chr9_1172_left, chr1_28710_right, chr3_457_left, chr2_12877_left, chr1_5316_core
5      | GTR+G      | 2084       | ce1a84cb03a91fcbbe751ed056674db9 | chr3_457_core, chr3_2740_core, chrz_11557_core, chr6_9787_core, chr1_25675_right, chr9_1949_core, chr1_32234_core, chr9_6325_core, chr1_5338_core, chr1_29889_core, chr4_8915_core, chr1_25682_core
6      | GTR+G      | 1348       | d52757f652caefb81b7855baed4818d9 | chr5_7136_core, chr7_961_core, chr2_16700_core, chr7_9558_core, chr19_2433_core, chr3_457_right, chr1_5478_core, chr6_9804_core, chr8_1574_core, chr5_5859_core
7      | GTR+G      | 665        | 691b579f43c821a30e4203522352f60d | chr2_23160_right, chr15_671_right, chr17_3028_right, chr6_6012_right, chr4_10540_left, chr2_9384_left, chr2_25995_left, chr3_3067_right, chr3_18421_right, chr3_17883_left, chr8_6192_left, chr2_18507_right
8      | GTR+G      | 2252       | 09b4821b8396a984c0a3af631426566d | chr2_2794_right, chr6_9828_right, chrz_11557_right, chrz_12018_all, chr8_4399_right, chr8_7335_right, chrz_12021_core, chr1_27635_core, chr11_4723_right, chr7_11606_core, chrz_4841_core, chr3_17211_core, chr3_18950_right, chr5_11146_left, chr2_14426_core, chr2_9384_core, chr12_4212_core, chrz_11319_left, chr11_5044_right, chr7_10160_left, chr11_1678_left
9      | GTR+G      | 3501       | 9c56959212ae536a60830f3bbdcde469 | chr1_28639_right, chr7_10489_core, chr6_5958_core, chr2_21308_right, chr12_5897_right, chr3_7313_core, chr7_11588_right, chrz_11684_left, chr2_9384_right, chr3_18148_core, chr5_10239_right, chr8_6860_core, chr2_18650_left, chr11_6387_core, chr1_27556_left, chr5_11304_left, chr3_5766_core, chr2_8769_core, chr2_2807_core
10     | GTR+G      | 989        | c1d57abf1c3c2c9a53d8d62e0d5ea433 | chr3_22949_left, chrz_8004_left, chrz_532_left, chr2_21782_right, chr1_9746_core, chr2_8622_left, chr6_7982_core, chr4_16878_left, chr3_454_right, chr5_14389_core, chr3_338_right, chr9_6388_left
11     | GTR+G      | 547        | cb210f98916e479ab397fd7a9476e6d2 | chr1_24864_right, chr6_7961_right, chrz_11491_left, chr6_8800_left, chr1_14899_left, chr4_7278_right, chrz_8004_core
12     | GTR+G      | 1387       | ecc7c566a3b6e695953212c39d662587 | chr11_1410_left, chrz_11684_core, chr2_23687_left, chr2_21313_right, chr3_1681_left, chrz_8004_right, chr7_2784_right, chr7_10865_left, chr3_5514_left, chr5_3191_right, chr3_7396_left, chr5_3396_left, chr2_2210_left, chr4_16878_right, chr7_10285_right
13     | GTR+G      | 1533       | 955612151d7850c9f5c995ae5d70d787 | chr4_2456_right, chr17_3113_core, chr8_4030_left, chr8_9156_core, chr2_30193_core, chr5_14684_core, chr3_6220_left, chr6_8823_left, chr4_4009_right, chr7_4670_right, chr2_23192_core, chr2_13491_right, chr2_17629_left, chr2_14269_left
14     | GTR+G      | 1546       | c9d23c40ad778e816e7ff78d0f228deb | chr9_1949_left, chr2_24707_left, chr5_3342_right, chr5_10912_left, chr8_661_left, chr11_6465_right, chr11_1962_left, chr2_23635_right, chr8_4030_core, chr7_10675_left, chr7_10735_right, chr2_24774_core, chr2_24910_right, chr8_2614_right, chr2_18665_core, chr5_7136_left
15     | GTR+G      | 2294       | 10c262aacf1afee86af92513044aa1f0 | chr5_2947_core, chr1_24640_core, chr7_10316_right, chr2_8701_right, chr8_8942_left, chr2_6746_core, chr2_17644_core, chr6_5958_right, chr2_22620_core, chr4_7243_core, chr7_3146_core, chr8_4030_right, chr3_6124_core, chr3_5455_core, chr2_22061_right, chr7_10520_core
16     | GTR+G      | 1037       | 6c5f9c7c1b4a82c04716a2c562dd5ca8 | chr12_5878_left, chr2_26639_left, chr6_8800_core, chr6_9631_right, chr2_24910_core, chr1_14993_right, chr5_5848_core, chr2_24784_right, chr1_24640_right
17     | GTR+G      | 399        | 98d55e6eb86c8ae0c59221bec5c0b1a0 | chr4_7565_right, chr1_27867_left, chr3_21951_core, chr6_8800_right, chr4_13387_left                 
18     | GTR+G      | 100        | 37d47b06b8aac2065ac3ebeb7513a348 | chr3_6203_right, chr21_1565_left                                                                    
19     | GTR+G      | 3819       | 27dae948a4afb770df26579f7508e95b | chr6_4125_right, chr5_11797_core, chr4_7028_all, chr8_9158_core, chr6_3258_core, chr12_5908_core, chr21_1565_core, chr13_720_right, chr8_7462_right, chr2_26586_core, chr2_18664_right, chr12_5828_core, chr4_7513_left, chr4_18946_core, chr1_5474_right, chr11_3508_right, chr1_28645_core, chr7_1405_core, chr1_14899_right, chr7_10361_left, chr2_21358_left, chr8_9543_core
20     | GTR+G      | 156        | 10ac79a1faf09207f210d8395cce959f | chr6_2724_left, chrz_6700_left, chr21_1565_right                                                    
21     | GTR+G      | 521        | 18a40192b490135f40691941edae07fc | chr7_4670_left, chr23_232_right, chr1_34775_right, chr2_8154_right, chrz_13094_right, chr4_9746_left, chr6_9800_left, chr12_1854_right
22     | GTR+G      | 1880       | 8506eeb73d4d2d9cf24a54afc4f36256 | chr7_4670_core, chr4_16026_core, chr11_3422_left, chr1_25705_right, chr20_5193_right, chr6_3293_core, chr2_23507_core, chr6_9807_core
23     | GTR+G      | 369        | 76bf76356adf2223f76672a9dd5fad20 | chr20_1391_left, chr1_29914_left, chr24_1203_left, chr6_9822_core, chr8_2110_left                   
24     | GTR+G      | 1308       | 0ec4c70a69d9e2a8f5a995c819f85c7b | chr3_3350_left, chr3_362_right, chr7_11588_core, chr2_7958_right, chrz_3358_left, chr4_7243_left, chr2_27239_right, chr11_1757_core, chr1_25652_right, chr1_16391_core, chr24_1203_core
25     | GTR+G      | 965        | a71ffb1cc444b78166e721ffdc850d94 | chr11_2537_left, chr24_1203_right, chr3_9717_right, chr1_7683_left, chr2_2807_right, chr13_2812_right, chr11_4750_left, chr3_9719_left, chr3_5834_right, chr2_23651_left, chr19_372_left, chr2_13001_right, chrz_11569_left, chr3_5552_left, chr3_5533_left, chr10_4660_left
