Scheme Name       : step_2
Scheme lnL        : -1224288.52359
Scheme AICc       : 2458024.01618
Number of params  : 4676
Number of sites   : 465241
Number of subsets : 466

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 597        | eb03c36417c0dbe53886890016b1f199 | chr10_2828, chr2_16467                                                                              
2      | GTR+G      | 603        | 94fb883f9a51420e558394725010a100 | chr10_4312, chr4_7278                                                                               
3      | GTR+G      | 1460       | fc34b2c5221846cc009e2be1237b09c8 | chr10_4575, chr20_1380, chr3_17860, chr2_7435                                                       
4      | GTR+G      | 1494       | bc1498b61f0cb76ed913af0fdc69a4b9 | chr10_4660, chr10_4599, chrz_11650, chr8_3473                                                       
5      | GTR+G      | 1480       | ac0910e4bcfd29bdce5eeac72cdfbf1c | chr2_12017, chr10_4748, chr6_9807                                                                   
6      | GTR+G      | 1556       | 0d4752a32b46d85ab517991d1ffcaea7 | chr2_17608, chr5_1055, chr10_4758, chr17_2963                                                       
7      | GTR+G      | 448        | e08ac066e054e1fd66bf92e14c800f08 | chr10_4790                                                                                          
8      | GTR+G      | 490        | 0abd7404a2ca33167e35cf3897163d26 | chr6_8584, chr10_5022                                                                               
9      | GTR+G      | 996        | f065be4ba6fbeadf6f4c30314c035d03 | chr8_4125, chr10_5678                                                                               
10     | GTR+G      | 1131       | 40d01ab9a2721fb52169f318dad936da | chr5_10587, chr10_5708, chr6_3086                                                                   
11     | GTR+G      | 666        | 1727da128a1a2e7209988b80c10aaa02 | chr10_5739, chr2_7963                                                                               
12     | GTR+G      | 833        | 366027934e265386460319ebf0e2ce66 | chr11_1410, chr5_10912                                                                              
13     | GTR+G      | 1652       | 27a437ad397d81c1deba981601609fdd | chr6_3228, chr2_14269, chr3_7244, chr11_1600                                                        
14     | GTR+G      | 1485       | 7e8989daaf647baf116e1fb399eff940 | chr2_26684, chr11_1757, chr3_5924, chr11_6443                                                       
15     | GTR+G      | 1440       | 46847d8f4f49b759ef898d2630077490 | chr11_1787, chr9_5129, chrz_7426, chr1_32389                                                        
16     | GTR+G      | 1578       | c119e60b7d43b5afcaeae490a31d6dcc | chr4_2456, chr8_4260, chr11_1962, chr1_5333                                                         
17     | GTR+G      | 1187       | f89454efdbffe47b5162b7b5c957bebc | chr11_1999, chrz_14552, chr3_14143                                                                  
18     | GTR+G      | 1661       | 4eef8a999930118ed15350776e70ea13 | chr7_9558, chr3_3073, chr2_13491, chr11_2599                                                        
19     | GTR+G      | 1823       | 0cf421a7cad550767e83a1a333943ddc | chr11_3108, chr1_32216, chr2_23548, chr7_11467                                                      
20     | GTR+G      | 1670       | a1482b2972fcff042419bc4f9faedfca | chr5_2978, chr5_11657, chr6_4118, chr11_3186                                                        
21     | GTR+G      | 1972       | 9bdb4b58be905e15b2d17f619def6101 | chr2_23192, chr6_9746, chr11_3190, chr9_3537                                                        
22     | GTR+G      | 1035       | be6238250ce06a44dd7f9ec3bfbc90dc | chr6_4403, chr1_5492, chr11_3231                                                                    
23     | GTR+G      | 1464       | 875557162054a9fe9725f980242fe137 | chr11_3232, chr4_13330, chr6_4409                                                                   
24     | GTR+G      | 1627       | 40eed6407409001bd82b635eac5a0088 | chr7_4777, chr7_1380, chr11_3250, chr6_9632                                                         
25     | GTR+G      | 922        | 01e04df6e7fe6700951a34ef72e86d86 | chr1_32429, chr11_3287                                                                              
26     | GTR+G      | 689        | a706bc9522ea9a04910522323e990758 | chr11_3318, chr11_3508                                                                              
27     | GTR+G      | 511        | 726fca0a1ebaf72c1301573149ab016e | chr11_3345                                                                                          
28     | GTR+G      | 1606       | cb916c862f51d8d270c8e645b39b6f9f | chr9_7170, chr7_4674, chr11_3414, chr6_6012                                                         
29     | GTR+G      | 1449       | 2edb11d67d5d61ac77f587fb8d0aa294 | chr2_9158, chr11_3418, chr8_7536, chr2_14414                                                        
30     | GTR+G      | 597        | aa587e29c5d23f53ce63fe465801e40a | chr11_3419, chr7_11439                                                                              
31     | GTR+G      | 1186       | 42e0e2c33676541f705159cd3416a0e7 | chr11_3420, chrz_60, chr8_310                                                                       
32     | GTR+G      | 858        | c26efafd20ed3f4b620df078d0ccef6e | chr2_22620, chr11_3422                                                                              
33     | GTR+G      | 862        | e721c62064de6f4d92d61937bee0713a | chr11_3428, chr9_6388                                                                               
34     | GTR+G      | 1320       | 614ca6e5f4bacbce31e68b6492939333 | chr5_11783, chr11_3432, chr4_11164                                                                  
35     | GTR+G      | 1435       | a2d773b68e9003fda0b1046d8486d9b5 | chr3_17883, chr4_7028, chr24_2232, chr11_3447                                                       
