Settings used

alignment         : ./Crawford_2012.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 34310


Best partitioning scheme

Scheme Name       : step_9
Scheme lnL        : -1200742.75288
Scheme AICc       : 2410728.43691
Number of params  : 4576
Number of sites   : 465241
Number of subsets : 456

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 346        | e997a703fb5931b44dc131f64f59af21 | chr10_2828_left, chr2_14247_left, chr5_11266_right                                                  
2      | GTR+G      | 787        | 7a3bc1422145bd4589041f78ad6f1016 | chr10_2828_core, chrz_6659_core, chr5_1649_core, chr7_4747_core, chr9_6414_core, chr1_5277_core, chr2_24859_core, chrz_6769_core, chr2_8786_core
3      | GTR+G      | 767        | 31c2edff9c721ab2da215213823128cf | chr5_2978_right, chr6_4403_right, chr11_3428_right, chr4_4979_left, chr10_2828_right                
4      | GTR+G      | 436        | 26c38d5578e3e7a3ad47dd267453deee | chr2_30204_left, chr10_4312_left, chr3_1282_left, chr3_6231_left                                    
5      | GTR+G      | 517        | 63e9c2adc1c6613e2977c8d73975391a | chr20_5307_core, chrz_6588_left, chr7_10430_left, chr10_4312_core, chr5_1839_core                   
6      | GTR+G      | 946        | c26764c7b657a01d4ea0401c98adc8c3 | chr3_24787_left, chr8_451_left, chr10_4312_right, chr6_4409_right, chr2_18686_right, chr8_1565_left, chr4_10574_left
7      | GTR+G      | 1631       | 43eaaa849dced566b72f12e8e4a6aef9 | chr3_7131_core, chr2_17568_right, chr6_7982_left, chr5_3290_left, chr6_9464_left, chr1_34775_right, chr9_5129_left, chr10_4575_left
8      | GTR+G      | 2106       | bc1e5a36222ee088160e227fa916708e | chr1_28846_core, chr4_7565_left, chr2_24774_core, chr3_1249_core, chr17_2957_left, chr1_28726_left, chr9_5239_core, chr2_11806_left, chr13_696_core, chr3_576_core, chr2_24947_core, chr2_15001_core, chr10_4575_core, chr19_354_core, chr6_3033_core
9      | GTR+G      | 593        | 24b20203f24c0b280e18a2f8a9a69776 | chr11_3250_right, chr10_4575_right, chr5_11772_right, chr9_7434_core                                
10     | GTR+G      | 2185       | 6cd7f18720bef69518dccc0238d44f81 | chr2_24800_left, chr2_7180_left, chr10_4599_left, chrz_13094_left, chr5_11219_right, chr2_6444_left, chr3_17498_core, chr7_10865_right, chrun_random_9491_right, chr1_26661_right, chr1_26730_left, chr12_5678_left, chr8_7536_left, chr2_8651_left, chr7_10269_core, chr8_199_left, chr2_24704_left, chr4_13330_right, chr1_5292_left, chr4_11110_left, chr6_3276_left
