Settings used

alignment         : ./Branstetter_2017.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 22510


Best partitioning scheme

Scheme Name       : step_18
Scheme lnL        : -8696556.24104
Scheme AICc       : 17415497.8819
Number of params  : 10550
Number of sites   : 183747
Number of subsets : 1018

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 108        | df68affd23e60b38907163c7d401f4a7 | uce_10_left, uce_785_left                                                                           
2      | GTR+G      | 301        | 8c043fba0fd4794ebe00620f52f3a861 | uce_242_left, uce_785_core, uce_1069_left, uce_10_core                                              
3      | GTR+G      | 115        | d3bd43d1e168d2455d822ccafd12505b | uce_10_right                                                                                        
4      | GTR+G      | 433        | 42ad5e36e8c16bb47436d2dd9cd02fed | uce_1008_left, uce_458_all, uce_100_left, uce_774_all                                               
5      | GTR+G      | 152        | eba75b8a90ddb863346e1624ab99dac2 | uce_898_right, uce_100_core                                                                         
6      | GTR+G      | 141        | 65925f13f4821e134a8edf39f14c84b3 | uce_100_right, uce_168_left                                                                         
7      | GTR+G      | 52         | ce53e393222f8fd3f85857ef761a050d | uce_1004_left                                                                                       
8      | GTR+G      | 511        | 6c02726071d131430d79b5d47a708781 | uce_18_core, uce_1004_core, uce_270_core, uce_1196_core, uce_824_core, uce_133_core, uce_1172_core, uce_997_core, uce_1033_core
9      | GTR+G      | 679        | 34063d8e4f3c1a7affde03f907d3ae33 | uce_1069_right, uce_1162_right, uce_862_all, uce_211_core, uce_1004_right, uce_560_left             
10     | GTR+G      | 123        | fc71704e62af22bfec3a42e3a2c660c1 | uce_1006_left, uce_1031_left                                                                        
11     | GTR+G      | 234        | 5328b4d32460fe20e5447e76018457d0 | uce_168_core, uce_797_core, uce_1006_core                                                           
12     | GTR+G      | 245        | fdc694497dc2da88aaf01304159d1019 | uce_1006_right, uce_967_right, uce_553_core                                                         
13     | GTR+G      | 348        | c5564fd80452ae1c6e25ef2a3fcb37d5 | uce_1007_left, uce_992_core, uce_1434_core, uce_911_core                                            
14     | GTR+G      | 166        | 98453c5ec4546f313a449fd011ae28a7 | uce_1007_core, uce_55_core, uce_782_core                                                            
15     | GTR+G      | 404        | 7b6ceee0bab1ad25add60a3ad9fad5ca | uce_1028_core, uce_815_all, uce_1400_right, uce_1007_right                                          
