Scheme Name       : step_2
Scheme lnL        : -1145332.83368
Scheme AICc       : 2302750.24571
Number of params  : 5982
Number of sites   : 599627
Number of subsets : 595

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 927        | 477c897b160119f4f1381d8fca823a95 | uce_4264, uce_1027                                                                                  
2      | GTR+G      | 663        | 5364b31247ec1aca45625eee1e28afff | uce_1126, uce_63                                                                                    
3      | GTR+G      | 1659       | 85ecc22351b91adfde4498a5efd56124 | uce_3054, uce_395, uce_6101, uce_1207                                                               
4      | GTR+G      | 1423       | 74582871f067a8cb3fa46d1da8d719a9 | uce_7738, uce_1344, uce_4207                                                                        
5      | GTR+G      | 1711       | 6c1bcd802562fffde4bb7aee3b8a6f2d | uce_1376, uce_3907, uce_3141, uce_4236                                                              
6      | GTR+G      | 1687       | 2393abd0318cb11198366a6fdc3ec64b | uce_1579, uce_1499, uce_2149, uce_1232                                                              
7      | GTR+G      | 1122       | c26dcf7436b15f8f976b729699c8c16c | uce_6974, uce_1588                                                                                  
8      | GTR+G      | 1681       | d7017d4fba8172b624c310ef40ce923b | uce_2748, uce_5024, uce_1702, uce_3540                                                              
9      | GTR+G      | 1169       | d50b19f0e194e9bb4ad66af7848035bf | uce_95, uce_256, uce_7164, uce_1742                                                                 
10     | GTR+G      | 1341       | 104bad7ea020db0ccfb2dfcb799f8c11 | uce_4944, uce_1810, uce_6074, uce_18                                                                
11     | GTR+G      | 1368       | 47222620fd0dbd4efaae88834944221e | uce_4227, uce_1832, uce_261                                                                         
12     | GTR+G      | 1060       | c82cf463f0e4090d8b68fb9514ac3b1f | uce_3025, uce_1897, uce_759                                                                         
13     | GTR+G      | 1237       | f4c7ac87a69fc9f8c09915c2397277a7 | uce_412, uce_325, uce_2116                                                                          
14     | GTR+G      | 672        | d5f390f361756bd74b2e6ad8603a3304 | uce_235, uce_7841                                                                                   
15     | GTR+G      | 1222       | a18a5fd16363416eaa6a5cfba6f98a30 | uce_2537, uce_370, uce_1430, uce_3462                                                               
16     | GTR+G      | 1014       | c67d9208ec1938d2e3fed70b99a40373 | uce_3199, uce_3348, uce_276                                                                         
17     | GTR+G      | 712        | 15840f151097ba037dce205edff2bf18 | uce_655, uce_2857                                                                                   
18     | GTR+G      | 1535       | 1e461cb2e5c0ca8a3dc9be5bfd13d322 | uce_3196, uce_2940, uce_533, uce_318                                                                
19     | GTR+G      | 1297       | 89b5b219429c8fc339db943df5753c1b | uce_3857, uce_337, uce_2943, uce_3416                                                               
20     | GTR+G      | 1336       | 46c1938e8bc69dd3096d6f4c89c43639 | uce_6970, uce_2973, uce_4822                                                                        
21     | GTR+G      | 1344       | 14b35d8dac87724eafed0e0cced4d831 | uce_2994, uce_4061, uce_4003                                                                        
22     | GTR+G      | 773        | 6f057cfe59a664c2afb685e5bb61903e | uce_3784, uce_3067                                                                                  
23     | GTR+G      | 295        | 1bcbdda1ddc6f678c431a85d305da0f3 | uce_3099                                                                                            
24     | GTR+G      | 1305       | 4f5576d488cfc22806e4f93347d36412 | uce_576, uce_4151, uce_7462, uce_3130                                                               
25     | GTR+G      | 1070       | bb4d48f5722164c559201aa971f33c6d | uce_6813, uce_3352, uce_6730                                                                        
26     | GTR+G      | 775        | 9dea28be941e3420ce9e1a960a3cbbb8 | uce_3512, uce_7215                                                                                  
27     | GTR+G      | 1583       | b79ca5d5117e00048f19ebd553911e9d | uce_4293, uce_646, uce_3560, uce_3660                                                               
28     | GTR+G      | 627        | 63f6bb4c1e405aa720272f5deb5ccc83 | uce_3859                                                                                            
29     | GTR+G      | 1582       | 8def264eddf637f6a8a44edb2df1c72d | uce_7700, uce_4707, uce_3089, uce_3918                                                              
30     | GTR+G      | 1324       | 6968a5bad9844d743f5bc24af262bb1d | uce_4389, uce_3924, uce_6317, uce_7022                                                              
31     | GTR+G      | 1321       | ec5d21b0a919570b8daaf447d11e14f0 | uce_3927, uce_2160, uce_680                                                                         
32     | GTR+G      | 1417       | b441e33cc910f62cb530305db3f9cf26 | uce_2465, uce_1285, uce_417                                                                         
33     | GTR+G      | 1259       | 1769dd8273413018dbdb5ef4b91b4ed4 | uce_4208, uce_2981, uce_620                                                                         
34     | GTR+G      | 1919       | 94b5675109f91157c53980d742beafe4 | uce_3571, uce_2540, uce_3777, uce_4347                                                              
35     | GTR+G      | 1185       | 6696596557241ba682dd681656a35f33 | uce_372, uce_464, uce_4348                                                                          
36     | GTR+G      | 399        | a331d05298d179ccdd5ae5e5047e6930 | uce_4766                                                                                            
37     | GTR+G      | 885        | 75d81338769d71b009b0378efb2bbc9c | uce_5265, uce_4829                                                                                  
38     | GTR+G      | 511        | ffa2f1cd8e2bd457afc6b8263345937f | uce_3065, uce_4866                                                                                  
39     | GTR+G      | 1476       | c67bc01c80c4108e08ec1fa20b9f8e08 | uce_2598, uce_4927, uce_188, uce_1868                                                               
40     | GTR+G      | 955        | 9aed874c0b8e1ef8862aeaf12cd6d440 | uce_5098, uce_5224, uce_5075                                                                        
41     | GTR+G      | 1152       | efec8a49cc915dae522585858b39f9c5 | uce_5077, uce_1415, uce_3122                                                                        
42     | GTR+G      | 738        | be3f226ae6f87348f55297bf8f45b282 | uce_6659, uce_5174                                                                                  
43     | GTR+G      | 1407       | b3d7ac5921128a33241c9866fb59d2ea | uce_3958, uce_3166, uce_5188                                                                        
44     | GTR+G      | 1261       | 255b507d057955f0b9215c49299f1988 | uce_1932, uce_545, uce_6277, uce_915                                                                
45     | GTR+G      | 322        | 12a930c8cf6b53e06eb816aa4b59dd03 | uce_5478                                                                                            
46     | GTR+G      | 1426       | 727db7aa1f6fa7eaba07c6f593a6f16e | uce_2371, uce_6997, uce_5589, uce_1336                                                              
47     | GTR+G      | 1207       | 0c5112a8ef4c9d989e9ee1de316a96cb | uce_6035, uce_6454, uce_5934, uce_6693                                                              
48     | GTR+G      | 1128       | d7095f18f35e94a6e5d133d781007ca4 | uce_7210, uce_3008, uce_6125, uce_362                                                               
49     | GTR+G      | 1234       | ab5c34dbe265bb08ce5bf7595929da8d | uce_937, uce_4562, uce_6136                                                                         
50     | GTR+G      | 447        | 3265369df8597e69f99bbfff96d20f76 | uce_6158                                                                                            
51     | GTR+G      | 586        | 58bb7722111fd6b1d938f606d9695462 | uce_6642                                                                                            
52     | GTR+G      | 952        | 049afea186fb5527ce013df871733d54 | uce_6654, uce_7587                                                                                  
53     | GTR+G      | 1170       | d151a18ca8675ac4d0724c39f2690f8a | uce_4853, uce_1410, uce_6725                                                                        
54     | GTR+G      | 381        | 4fe702567d72fb200d97cbf3d1627c04 | uce_7055                                                                                            
55     | GTR+G      | 1868       | 7d1a60e9fe8195b74e398a0c49b15d81 | uce_353, uce_6959, uce_711, uce_4117                                                                
56     | GTR+G      | 473        | fb21181f88dc613be87c2ca007e7a506 | uce_738                                                                                             
57     | GTR+G      | 1352       | dd56c3793ae148d233d49e218b5d170b | uce_7510, uce_4593, uce_1783                                                                        
58     | GTR+G      | 899        | 8d5dab9e0a1712c02b890b6e41dd09e3 | uce_752, uce_5391                                                                                   
59     | GTR+G      | 724        | 52f466b32b6877522290ade67420331f | uce_3970, uce_7554                                                                                  
60     | GTR+G      | 892        | ee3468ad9d225671729bc7046259e1be | uce_5193, uce_7668                                                                                  
61     | GTR+G      | 1529       | efde63495add208dba6dfab82aef0e2f | uce_783, uce_2120, uce_6856, uce_2516                                                               
62     | GTR+G      | 410        | 692d38bedd45470424fc2af66ed8217e | uce_7984                                                                                            
63     | GTR+G      | 604        | 81feca06d4cb1433b559e7f06c2bcf1c | uce_6329, uce_814                                                                                   
64     | GTR+G      | 1128       | 56b8006cb0811fa239d287067a25c6da | uce_876, uce_3978, uce_5560                                                                         
65     | GTR+G      | 401        | 6d122f325b8cee97c669dc913b950c7f | uce_910                                                                                             
66     | GTR+G      | 818        | 34a4899474e01b30c75887a2434a55d6 | uce_1613, uce_686                                                                                   
67     | GTR+G      | 1820       | eea74a88e9f6bdcae158eeee6760d886 | uce_7996, uce_1625, uce_7906, uce_671                                                               
68     | GTR+G      | 1477       | 1779ef1ab609b3274f7820d3a555e35f | uce_2008, uce_665, uce_238, uce_5704                                                                
69     | GTR+G      | 1630       | f646599f1de43391635f7dbeda0c185c | uce_6373, uce_2933, uce_3308, uce_1043                                                              
70     | GTR+G      | 1354       | 43e85929a6515bd3bb5d98c928783926 | uce_1003, uce_1150, uce_5755                                                                        
71     | GTR+G      | 1377       | 42cb877d4615385176a5b1c6f069d348 | uce_1128, uce_3084, uce_6360, uce_5827                                                              
72     | GTR+G      | 1013       | 460ce32f5f58714e843a982ff6fb57b6 | uce_7168, uce_6324                                                                                  
73     | GTR+G      | 829        | e669de1f4353389b1242145e2617cb9e | uce_6649, uce_2432                                                                                  
74     | GTR+G      | 837        | 9f95486984a4fb057371a3e370bfd9bd | uce_7632, uce_6752                                                                                  
75     | GTR+G      | 1488       | cfee42a3787126764049458368be96f9 | uce_627, uce_6797, uce_3646, uce_7589                                                               
76     | GTR+G      | 483        | d1c1322285a5b3aa6f21645b417eef22 | uce_7050                                                                                            
77     | GTR+G      | 1639       | 6860d73f2fbaa4f5e31603512f5121e6 | uce_7028, uce_7530, uce_553, uce_1512                                                               
78     | GTR+G      | 836        | a946b2a1b4a2805bd51901e9381d2113 | uce_5645, uce_1004                                                                                  
79     | GTR+G      | 1357       | 9ea0052f9f01ac094c0b569b5842551b | uce_220, uce_1005, uce_1560                                                                         
80     | GTR+G      | 1055       | cc3878dbd95e95d69243c14720d56cf2 | uce_5562, uce_3879, uce_1012                                                                        
