Scheme Name       : start_scheme
Scheme lnL        : -8781882.74365
Scheme AICc       : 17581458.2609
Number of params  : 8440
Number of sites   : 183747
Number of subsets : 807

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 218        | 2615d1b6a5a3a066e22f5f01c0559d08 | uce_10                                                                                              
2      | GTR+G      | 207        | dc13beb4d9a0f3dfa3676a4e8c915c09 | uce_100                                                                                             
3      | GTR+G      | 206        | 5ab94c5c6ad562d017219479f54b97a2 | uce_1004                                                                                            
4      | GTR+G      | 154        | 563d24b866aef330cc0a773c7dc92271 | uce_1006                                                                                            
5      | GTR+G      | 330        | 1c9c7ae463b7eea6b991e0e92aecc8d4 | uce_1007                                                                                            
6      | GTR+G      | 305        | e27c9aba84e4aa8f9059911080ad9551 | uce_1008                                                                                            
7      | GTR+G      | 243        | 552b04e97d499536615b30caaac77c08 | uce_1010                                                                                            
8      | GTR+G      | 163        | c56a2da8954c49dd81d1a3cffefa2527 | uce_1011                                                                                            
9      | GTR+G      | 291        | bc17fded3f5d7a1b932ef52e78c26614 | uce_1012                                                                                            
10     | GTR+G      | 277        | e2bfa757c1b4440673df755332e66e6e | uce_1013                                                                                            
11     | GTR+G      | 229        | 55573990ec41cd20182225aa23a279ea | uce_1014                                                                                            
12     | GTR+G      | 244        | 70818a09390fdfef66e9849ad38f2dbc | uce_1015                                                                                            
13     | GTR+G      | 209        | c109ba2f93a8b0b289f4db01549f6c56 | uce_1016                                                                                            
14     | GTR+G      | 252        | 134c7c98860c33a94e2ac2dc83eef54f | uce_1019                                                                                            
15     | GTR+G      | 160        | 0c13bbe8a51af14672ce70cc021a868e | uce_1020                                                                                            
16     | GTR+G      | 292        | d38ca24f557db2c0187ae2807730b871 | uce_1022                                                                                            
17     | GTR+G      | 214        | 79837f619250760982b151fab588543e | uce_1023                                                                                            
18     | GTR+G      | 206        | 611132ddc4f76cd79cc1c6012c49490e | uce_1024                                                                                            
19     | GTR+G      | 292        | 124fc5f7148f54b73e4cd5c879896ee1 | uce_1025                                                                                            
20     | GTR+G      | 184        | 158ec2abdc437afc5dcd7a7f7d5d8b37 | uce_1026                                                                                            
21     | GTR+G      | 203        | 6285bff391a361e64b60835e50f64f1c | uce_1027                                                                                            
22     | GTR+G      | 256        | 013cb787f75e2b8b962276e1cb70956b | uce_1028                                                                                            
23     | GTR+G      | 239        | a2177abfe196393f39f514a9f5ade010 | uce_1029                                                                                            
24     | GTR+G      | 319        | 727b3235ee5dd2ec208bb74329ad419d | uce_103                                                                                             
