Scheme Name       : start_scheme
Scheme lnL        : -2963252.76672
Scheme AICc       : 5937376.82016
Number of params  : 5358
Number of sites   : 375172
Number of subsets : 515

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 698        | 8559bcd7bc3f2f91071ed665530eaf08 | uce1008                                                                                             
2      | GTR+G      | 812        | d334b9a99da6862f600362bb14c346ea | uce1012                                                                                             
3      | GTR+G      | 769        | def964df992fd9ebbb74b998478d25d7 | uce1048                                                                                             
4      | GTR+G      | 821        | f96e5d0a0400fa687877e2513a3136f4 | uce1052                                                                                             
5      | GTR+G      | 644        | 47c1ced56cd592025d5a10dbc7476b2e | uce1092                                                                                             
6      | GTR+G      | 752        | 562960978ef5e4602db8fa2247008c88 | uce1094                                                                                             
7      | GTR+G      | 774        | bbe6d7857a88b9ec874620fe74de8863 | uce1123                                                                                             
8      | GTR+G      | 949        | bd8989bb428090f4f948419c36707fdd | uce1127                                                                                             
9      | GTR+G      | 823        | 51bab62f6c123511ec869bce2a206695 | uce1135                                                                                             
10     | GTR+G      | 686        | 16e647d5102a045b36a10863fa2824c0 | uce114                                                                                              
11     | GTR+G      | 722        | fc5693c032f85a2a02ac9e8543608d02 | uce1154                                                                                             
12     | GTR+G      | 756        | 140a977bb2cfe82537eefe177612aa40 | uce1202                                                                                             
13     | GTR+G      | 720        | 434621f644333c856448b199f2d15826 | uce1209                                                                                             
14     | GTR+G      | 644        | fd824f40fb62acc6c63e9efb3a1b3e10 | uce1217                                                                                             
15     | GTR+G      | 769        | 880771f09c8f064e205636a26beedfa4 | uce1232                                                                                             
16     | GTR+G      | 565        | 5f331d3d0afde1492c628fc365958f5d | uce1271                                                                                             
17     | GTR+G      | 926        | 86000e227de3d12516cc475c7bd1653c | uce1278                                                                                             
18     | GTR+G      | 791        | f798b2ba665a889923de65af8f8e6184 | uce1281                                                                                             
19     | GTR+G      | 912        | 4b5c86c854e9d534ab375ead209801a8 | uce1309                                                                                             
20     | GTR+G      | 667        | 2f85c756f6448d4507ae281aace036b0 | uce1314                                                                                             
21     | GTR+G      | 687        | b14e9d459d96957ca97fbb3d0ac13ec5 | uce1329                                                                                             
22     | GTR+G      | 846        | 3706672fb7d9a75d83e75cf013e2fbb1 | uce1333                                                                                             
23     | GTR+G      | 897        | 642e28902cd5038e3c9af3af5d8b7455 | uce1357                                                                                             
24     | GTR+G      | 724        | bddbb8d22a1be01b283c30665605af00 | uce1368                                                                                             
