Settings used

alignment         : ./Crawford_2012.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 34290


Best partitioning scheme

Scheme Name       : step_11
Scheme lnL        : -1197799.2254
Scheme AICc       : 2405576.33313
Number of params  : 4936
Number of sites   : 465241
Number of subsets : 492

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 223        | ec4ec20f283e68762342639340b3797c | chr10_2828_left, chr5_10052_left, chr5_14166_core                                                   
2      | GTR+G      | 1316       | 3d279d7dae96ea2ab359daae7fff0161 | chr1_34773_right, chrz_467_right, chr2_8688_left, chr7_10849_right, chr7_4601_left, chr10_2828_core, chr7_11467_right, chr2_13491_left, chr2_18574_left, chr10_4575_core
3      | GTR+G      | 986        | 2fe5953881455d0b714a5b4f4b0ef650 | chr8_2614_core, chr10_2828_right, chr7_11446_core, chr2_7957_right, chr2_18686_right, chr2_17101_right, chr3_7394_core, chr1_28645_core, chrz_10804_right, chr3_23229_right
4      | GTR+G      | 719        | 20d83c04357a7d9b86d23c8088d7af86 | chr4_7551_left, chr2_11725_right, chr10_4312_left, chr1_31743_core, chr10_4599_right, chr10_4758_core, chr3_17832_left
5      | GTR+G      | 2221       | 9c0a45aeee7f15f5fa5567b6cc188823 | chr9_1157_core, chr7_4896_left, chr2_22045_right, chrz_11555_right, chr3_7244_left, chr8_4063_left, chr2_24935_left, chr2_23507_right, chr1_20864_right, chr9_5218_right, chr7_9558_right, chr10_4312_core, chr2_23595_core, chr5_11783_right
6      | GTR+G      | 603        | cd555c1385633f85e6b7d043deb202cb | chr3_491_core, chr10_4312_right, chr20_2737_left, chr2_25261_right, chr4_2456_left, chr4_7551_right 
7      | GTR+G      | 2738       | 7ef1f9a70d3b246e7c4d0e2916d57f19 | chr3_1300_right, chr2_27234_right, chr10_4575_left, chr3_9734_left, chr19_354_right, chr3_25095_right, chr10_4599_left, chr3_9755_left, chr11_3582_left, chr2_8145_left, chr3_362_right, chr2_24910_right, chr11_3428_left
8      | GTR+G      | 663        | 7dc7444e533a829df8ac9a64a27fd0c5 | chr10_4575_right, chr12_5903_left, chr6_8017_core, chrz_7476_right, chr11_6465_core, chr5_11167_right, chr2_11732_right, chr3_6253_right
9      | GTR+G      | 1989       | 6fbb8b20166e637fc070766c96b2e594 | chr12_5878_left, chr1_32310_right, chr1_32334_left, chr1_28694_left, chr8_1565_right, chrz_4757_left, chr7_4746_left, chr2_14247_core, chr5_10327_left, chr3_520_left, chr11_3418_right, chr10_4599_core
10     | GTR+G      | 1105       | 8a15457c6a1a570ca420f7938508f598 | chr5_11258_right, chr2_18714_left, chr2_7915_core, chr2_19349_core, chr7_10865_right, chr10_4660_left, chrz_1402_right, chr9_5129_core, chr4_9636_right, chr2_26684_core, chr7_10302_left
11     | GTR+G      | 912        | 248de827586cadb48ecb7f63fc71dc4a | chrz_7691_core, chr9_6414_left, chr10_4660_core, chrz_13094_right, chrz_6362_left, chr3_19997_right, chr2_24830_core
12     | GTR+G      | 403        | 62cbd8f64b3ea2f369ed5da5a28296ab | chr1_32446_right, chr3_7131_core, chrz_4750_right, chr12_4859_right, chr10_4660_right               
13     | GTR+G      | 2053       | 880b88a141d67a588bbb78df41bbd1b0 | chr3_5587_left, chr3_7394_left, chr8_8835_left, chr2_29406_left, chr9_3289_right, chr10_4748_left, chr2_13034_right, chr1_24802_left, chr13_2920_right, chr1_5509_right
14     | GTR+G      | 671        | da5c332dedd18fc3ef52a11f2d838936 | chr1_10281_right, chr6_9625_left, chr10_4748_core, chr2_17666_core, chr6_9532_right, chr14_715_left, chr22_865_right, chr1_31769_core
15     | GTR+G      | 3029       | 1487fe272e452fc9fd9d5374d1ed9e68 | chr3_6220_right, chr11_3582_right, chr13_2821_left, chr13_714_right, chr10_4748_right, chr3_5819_right, chr13_2847_left, chr2_21308_left, chr2_22041_right, chr11_3318_left, chr9_7170_left, chr2_14247_right, chr2_6737_left, chrz_11569_right
16     | GTR+G      | 527        | afc17e0e15a212c4b7e858c48a627967 | chr6_9803_core, chr2_8688_core, chr10_4758_left, chr18_4493_core, chr20_2151_core, chr5_3401_core, chr5_11637_core
