Settings used

alignment         : ./McCormack_2013.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 15410


Best partitioning scheme

Scheme Name       : step_8
Scheme lnL        : -1570467.37518
Scheme AICc       : 3147457.96028
Number of params  : 3242
Number of sites   : 539526
Number of subsets : 318

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 1689       | 2370011be4c1c851900499d6c5584110 | chr3_14481, chr8_3473, chr7_1378, chr5_5191, chr3_17211, chr24_1041                                 
2      | GTR+G      | 2538       | f471b5fdd06476d0b3c750f49659c61a | chr6_3100, chr9_5205, chr2_6746, chr7_1402, chr3_457, chr3_9709, chr3_17883, chrun_random_8931      
3      | GTR+G      | 732        | d61f548c3cc847a0a8743fffb4f75d35 | chr2_17606, chr2_12977, chr2_9384                                                                   
4      | GTR+G      | 2262       | d43f4ef73a9001f3fff35e881d7b8065 | chr2_6040, chr2_24947, chr12_1854, chr8_8938, chr12_5730, chrz_8004, chr3_18148                     
5      | GTR+G      | 3635       | 25626dbcf1ade77ef74196d8f59ec657 | chr3_18421, chr4_4009, chr7_6327, chr5_10164, chr2_18477, chrz_7997, chr8_4030, chr9_2505, chr3_17438, chr7_8107
6      | GTR+G      | 1525       | 4a9ce089dd00a75f86206b57ac553303 | chrz_6062, chr6_8800, chr1_36035, chr2_20206, chr1_31914, chr6_3001                                 
7      | GTR+G      | 1817       | f9b1a6528d6c7217c55c968d1b82638e | chr14_3108, chr1_5483, chrz_7889, chr1_27496, chr21_1565, chr8_1333, chr2_26586                     
8      | GTR+G      | 3172       | 5fa3b38e7c664a4a534d3d564bdb19db | chr7_4670, chr8_460, chr19_372, chr5_11258, chr2_11191, chr5_3415, chr7_11484, chr5_3213, chr21_1511, chr9_5250
9      | GTR+G      | 842        | faf08308b2b08d6f1849ccaa34915491 | chr20_1678, chr4_17640, chr24_1203                                                                  
10     | GTR+G      | 2276       | d28f473398b863375db009ac4a124673 | chr1_21570, chr12_3186, chr2_18665, chr1_27500, chr5_1669, chrz_7677, chr3_5455                     
11     | GTR+G      | 1117       | e167c9bc57de469746a58eaba59d07f1 | chrz_72, chr13_187, chr1_26661                                                                      
12     | GTR+G      | 1932       | 20b45081e323886ca9c916219c2d8f7b | chr7_3146, chr3_3090, chr2_11708, chr24_2269, chr6_3326, chr1_16539                                 
13     | GTR+G      | 807        | 0accd718685847fcdc4e1b3208b24ba0 | chr8_4091, chr2_12872                                                                               
14     | GTR+G      | 1029       | 33fee9486e5d5d06b418886e9aaf3103 | chr2_24251, chr13_2800, chr2_24822                                                                  
15     | GTR+G      | 949        | dd242f44651695afb11164adbc98d09c | chr4_10149, chr4_10894, chr1_28889, chr1_30549                                                      
16     | GTR+G      | 1758       | e452394088fc42f9a99884000d29e7a5 | chrz_6700, chr1_25675, chr2_18507, chr6_4109, chr6_9474, chr8_4014                                  
17     | GTR+G      | 1895       | aad4f95ce66d9349034542d1f19ec7f1 | chr6_9529, chr8_2110, chr3_5482, chr2_23690, chr5_1839, chr1_28671                                  
18     | GTR+G      | 1268       | 724769037f6039422d1ec37bb23165c8 | chr1_5948, chr7_4505, chr2_11804, chr5_14590                                                        
19     | GTR+G      | 4986       | e70a02620836dae1527e6632533107aa | chr2_17629, chr4_11155, chr4_10540, chr9_1164, chr2_24910, chr18_3214, chr1_32366, chr9_3566, chr2_23648, chr13_2812, chr3_18428, chr2_27234, chr3_14142, chr17_2991, chr3_16358
20     | GTR+G      | 1434       | c3f07f30314ad00f634f2b451a2019f9 | chr7_10489, chr11_6387, chr1_16170, chrz_7936, chr2_13491                                           
21     | GTR+G      | 1180       | 5084430d36577b6b824114b0557398c3 | chr1_5474, chr2_13064, chr7_4715, chrz_3280                                                         
22     | GTR+G      | 2483       | 637e4df8391d1354299526cf6f73049f | chr2_17569, chr5_1700, chr2_5512, chr8_6894, chr8_5056, chrz_11650, chr3_22983, chr1_5495           
23     | GTR+G      | 1690       | 9e5c4d40dce49178abf01ef8f0e90762 | chr22_491, chr6_9502, chr7_1405, chr17_3113, chr1_8234                                              
24     | GTR+G      | 695        | b712916436bc91e5165db2d01d3890b6 | chr5_15594, chr1_7424                                                                               
