Settings used

alignment         : ./McCormack_2013.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 41870


Best partitioning scheme

Scheme Name       : step_13
Scheme lnL        : -1540263.43617
Scheme AICc       : 3093484.65301
Number of params  : 6402
Number of sites   : 539526
Number of subsets : 634

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 524        | 5b30dc72bed222d82b847141afe8294f | chr8_7440_left, chr24_1041_left, chr3_2053_left, chr9_6300_left, chr3_5687_left, chr11_4723_left, chr5_12349_left
2      | GTR+G      | 501        | 1ed42461d66f5698067d43cca4d4efb1 | chr1_14389_left, chr5_11167_right, chr4_17431_core, chr24_1041_core, chr4_4009_right, chr1_32597_core
3      | GTR+G      | 1601       | 42909a5388408b9bdeeb08836c192bf6 | chr5_10912_right, chr1_32398_right, chr20_1656_right, chr2_13034_left, chrz_14674_left, chr24_1041_right, chr2_17569_right, chr7_11485_right, chr1_8234_left, chr1_16525_left, chr1_27615_left, chr1_28671_left, chr3_7396_right, chr5_5191_left, chr5_14666_right, chr3_18148_core
4      | GTR+G      | 716        | bf5f56bf5dbb8d07d274bcef4a943686 | chrz_11491_left, chr2_25881_left, chr3_457_left, chr7_10160_core, chr7_11511_left, chr3_5455_core, chr7_4702_left
5      | GTR+G      | 588        | aa4c043ef06592d5b26ba20467781f48 | chr7_2690_core, chr21_1559_core, chr11_3419_core, chr7_10269_core, chr6_4125_right, chr3_457_core, chr13_4268_core, chr11_3418_core
6      | GTR+G      | 1987       | 0936bcbd4a4cec3f3e7301bc96bac576 | chr3_16816_left, chr13_2870_core, chr1_1098_left, chr15_672_core, chr18_3183_core, chr3_5529_core, chr5_11293_core, chr6_3274_core, chr7_4732_core, chr3_457_right, chr3_5577_core, chr19_365_right, chr4_17854_right, chr3_5877_core, chr6_3324_core, chr5_11146_core, chr1_27559_core, chr5_2918_core, chr1_14351_left, chr1_28671_core, chr2_8600_right, chr6_4109_core
7      | GTR+G      | 1056       | 44819f588c27ef0d727896c1095d8b90 | chr5_10052_left, chr11_3190_left, chr1_23645_left, chr20_309_left, chr7_2690_right, chr3_24957_right, chr2_18704_left, chrz_3388_all, chr2_9384_left, chr11_3350_core
8      | GTR+G      | 2909       | 901b260d8b2502147bcf3e1070ec2f1a | chr1_24978_right, chr3_18428_left, chr2_9384_core, chr1_14872_all, chr8_8088_right, chr7_10530_all, chrz_6695_core, chr5_13733_left, chr12_5678_all, chr1_18757_right, chr1_8428_right, chr11_1787_left, chr14_747_left, chr17_2963_core, chr1_29914_right
9      | GTR+G      | 1703       | bad561e520822540d81d765fb680baa6 | chr6_9803_right, chr3_17438_right, chr2_17749_left, chr7_11574_right, chr15_677_right, chr1_28729_left, chr3_19987_core, chr2_12867_left, chr1_25682_core, chr3_15480_core, chr3_7243_right, chr3_5577_left, chr2_9384_right, chr9_3537_right, chr5_15913_left, chr1_14351_core, chr1_32294_core, chr4_13362_right, chr7_10609_left, chr11_3326_core
10     | GTR+G      | 366        | 33b21ced788d03cfb9fe7737ed429d83 | chr5_2015_left, chr15_3386_core, chr24_1019_right, chrz_8004_left, chr3_5552_left, chrz_4723_left   
11     | GTR+G      | 635        | 12431c5ab4f26763d317105b74a49f09 | chr2_20206_core, chr12_5999_left, chr6_9787_left, chrz_8004_core, chr2_26586_left, chr7_1669_left, chr2_18477_right
12     | GTR+G      | 412        | b2e183fc11b9f5f720403c8e100613d3 | chrz_8004_right, chr14_3774_left, chr9_5199_left, chr2_24761_right                                  
13     | GTR+G      | 874        | d46802243d1a043c9d63a31c789e9738 | chr2_13491_right, chr8_4030_left, chr6_8017_left, chr4_2456_core, chr5_11219_right, chr8_6230_left, chr5_3213_core, chr2_24823_left, chr9_6388_right
14     | GTR+G      | 1547       | 6024f31cc64ddd3d0e16f847e08a73ce | chr3_18421_all, chr8_4030_core, chr10_5678_left, chr2_8786_core, chr3_17583_right, chr9_1172_core, chr8_9165_right, chr2_24864_right, chr3_7290_core, chr7_8149_core, chr2_24773_left
