Settings used

alignment         : ./Crawford_2012-permut-2.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 34310


Best partitioning scheme

Scheme Name       : step_9
Scheme lnL        : -1222648.7451
Scheme AICc       : 2452586.15568
Number of params  : 3616
Number of sites   : 465241
Number of subsets : 360

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 2332       | b91c8c3d43d2b3ceef452c7ec321944f | chr1_34775_core, chr7_10269_right, chrz_6036_core, chr2_24761_left, chr10_2828_left, chr2_23668_right, chr7_1380_left, chr5_10252_core, chr11_4789_core, chr11_3556_right, chrz_6727_core, chr22_640_left, chrz_11457_core
2      | GTR+G      | 1293       | d7a3ee3b82c1b7b8642a92fa9ad41a96 | chrz_8024_right, chr7_5163_right, chr2_14319_core, chr3_3180_left, chr4_13362_right, chrz_14576_right, chr10_2828_core, chr4_10540_core, chr3_5644_core
3      | GTR+G      | 1419       | fb1c30e7ce07f42d964deb7eeb244228 | chr4_7243_left, chr2_27294_right, chr11_3231_core, chr12_5678_left, chr3_17806_core, chr5_10239_left, chrz_60_right, chr10_2828_right, chr3_5573_left, chr7_11467_core, chrz_11479_right, chr8_4260_right
4      | GTR+G      | 2223       | 63b154b53c73373320fd455006df801b | chr1_28645_core, chr4_7243_core, chr12_5975_right, chr1_28859_left, chr8_661_right, chr17_2984_right, chr10_4312_left, chr9_5181_right, chr7_5166_core, chr5_11307_core, chr12_6056_core, chr2_14269_left, chr11_3422_right, chr6_7323_left, chr1_5281_core
5      | GTR+G      | 2127       | 1ee6d4ecdac943f0412babf5e63dca90 | chrz_11650_left, chr2_27317_right, chr11_1962_left, chr8_709_right, chr2_23099_left, chr5_3290_left, chr18_3214_right, chr4_15987_core, chr2_14247_right, chr5_11541_core, chr1_28694_core, chr3_17832_left, chr3_5476_left, chr3_17607_right, chr10_4312_core, chr7_9558_core, chr1_32446_right
6      | GTR+G      | 2434       | 7de89fd032de29058f8d3599da865a70 | chr8_8938_core, chr6_9807_core, chr3_16833_core, chr1_2557_right, chr3_7263_core, chr10_4312_right, chr2_18665_core, chr4_10045_right, chr2_24815_right, chrz_14460_left, chrz_4772_right, chr2_25860_core, chr1_5509_left, chr5_10051_core, chr12_5908_left
7      | GTR+G      | 1202       | 6b9268165be9205b52a00c6454063484 | chr1_5479_right, chr2_17101_core, chr6_9772_right, chr6_5958_left, chr14_3774_core, chr2_23507_left, chr1_28645_left, chr12_5828_right, chr2_17527_left, chr18_1424_left, chr2_8770_left, chrz_4763_left, chr7_10378_core, chr10_4575_left
8      | GTR+G      | 2271       | 397a3adc307b34d7ba38ca6aa46743f4 | chr2_21445_right, chr3_9747_core, chr8_310_right, chr5_3418_core, chr3_17832_core, chr10_4575_core, chr3_3016_right, chr13_2920_core, chr2_17801_left, chr3_17860_core, chr4_7243_right, chr4_10540_left, chr1_5333_core, chr1_5338_core
9      | GTR+G      | 2913       | 2d1e8015adf984536bfb2227dddae604 | chr11_1600_right, chr3_520_right, chrz_14674_core, chr3_2733_right, chr2_25261_core, chr3_9747_right, chr2_7190_core, chr7_10489_left, chr10_4575_right, chr2_18589_core, chr9_7434_right, chr3_6203_core, chr3_5478_core
10     | GTR+G      | 3427       | 7fa9ebbda20f7310ad4853215bd6d292 | chr3_5533_core, chr7_5163_core, chr2_14319_right, chr3_5494_right, chr7_2690_left, chr2_17532_right, chr7_4726_left, chr7_6308_core, chr9_6328_right, chr5_11247_core, chr13_3036_core, chrz_4819_left, chr5_3223_core, chr10_4599_left, chrz_6769_right, chr2_6336_left, chr11_3420_core
