name,start,stop
uce3959,128,197
uce8017,210,731
uce2611,310,740
uce2096,27,230
uce3560,230,578
uce3586,439,650
uce7495,122,578
uce7297,248,625
uce3862,73,210
uce4586,25,673
uce5498,32,588
uce1281,95,232
uce5771,83,134
uce7141,159,682
uce5383,694,769
uce1823,297,692
uce2980,141,587
uce4607,30,244
uce6532,217,626
uce7362,348,595
uce1123,179,398
uce4339,71,444
uce2538,217,572
uce412,101,654
uce1849,28,155
uce2566,462,586
uce2261,27,477
uce1810,56,541
uce6992,105,430
uce2994,182,514
uce759,27,151
uce3669,29,122
uce1154,194,659
uce1329,98,611
uce5521,135,648
uce6844,69,639
uce2080,261,736
uce1048,155,658
uce985,86,224
uce330,652,889
uce7854,108,190
uce6524,94,149
uce1271,466,538
uce1405,53,325
uce1644,79,578
uce624,492,563
uce1783,86,708
uce1591,193,751
uce146,80,130
uce2963,375,849
uce949,181,345
uce6301,236,680
uce342,103,165
uce2114,413,831
uce6905,75,153
uce6823,205,286
uce3742,282,363
uce4631,164,486
uce1601,231,344
uce7246,72,262
uce6715,181,611
uce4789,476,658
uce2713,31,166
uce4325,202,529
uce7950,143,442
uce533,35,128
uce2247,29,119
uce4428,25,509
uce3797,66,539
uce587,160,505
uce4863,652,708
uce3777,347,560
uce7102,411,527
uce7885,209,556
uce7527,128,559
uce6821,341,604
uce783,25,166
uce7864,54,775
uce2366,148,646
uce5676,245,506
uce1780,86,145
uce5158,167,627
uce4086,196,533
uce4843,74,347
uce5155,123,665
uce2346,64,568
uce3619,294,550
uce4792,151,569
uce4205,260,531
uce7068,273,741
uce876,102,264
uce385,722,778
uce3096,152,598
uce4426,573,624
uce1776,189,657
uce1427,603,760
uce3638,146,485
uce5797,97,198
uce2079,220,590
uce7768,35,424
uce1961,159,713
uce3826,528,578
uce1660,215,269
uce149,36,92
uce7643,676,786
uce1556,238,747
uce810,39,452
uce6472,263,740
uce205,26,120
uce1127,76,138
uce2860,423,481
uce7028,654,706
uce6730,37,129
uce3439,256,484
uce5228,453,509
uce6054,180,614
uce323,131,644
uce2940,86,202
uce1309,66,288
uce513,194,247
uce3217,241,578
uce3713,113,398
uce7514,120,548
uce3987,110,207
uce2998,88,139
uce6894,151,349
uce7361,25,595
uce7740,161,459
uce1485,224,398
uce3451,654,733
uce6317,41,521
uce5021,39,150
uce712,126,469
uce5243,199,363
uce7427,36,237
uce1547,71,146
uce4313,93,173
uce4566,174,559
uce3573,302,643
uce2841,163,560
uce1742,60,110
uce1217,78,138
uce4220,333,694
uce3528,51,667
uce6462,265,479
uce6937,104,561
uce4523,141,193
uce1622,226,456
uce548,25,75
uce7647,498,595
uce4089,259,506
uce274,29,111
uce6137,96,558
uce3863,126,178
uce1805,178,228
uce6113,246,692
uce2539,122,728
uce6608,107,272
uce343,25,77
uce2592,200,625
uce6355,505,564
uce4618,29,461
uce5620,279,594
uce1530,66,116
uce1808,43,93
uce5560,171,545
uce7637,184,548
uce2477,60,148
uce7472,111,502
uce5140,126,444
uce5344,163,215
uce7095,127,697
uce881,218,717
uce1975,480,565
uce3656,76,492
uce1858,582,677
uce7709,232,421
uce6827,83,561
uce4769,38,503
uce3050,729,848
uce780,218,685
uce15,53,388
uce865,152,242
uce2069,63,227
uce4176,45,106
uce5804,251,696
uce5554,73,126
uce337,37,164
uce4968,100,192
uce3340,213,583
uce1884,472,570
uce3627,245,416
uce3180,91,141
uce7697,203,465
uce2416,132,451
uce6014,53,323
uce2010,708,810
uce2140,60,619
uce7011,251,763
uce2830,167,612
uce5196,216,660
uce3492,154,531
uce5860,143,492
uce4808,132,506
uce7133,152,495
uce7666,40,167
uce7801,107,266
uce4641,31,235
uce6400,598,651
uce5451,55,250
uce772,628,724
uce5382,293,656
uce7848,458,533
uce1389,69,163
uce5345,96,578
uce4335,36,393
uce2468,238,531
uce4969,199,435
uce5849,65,490
uce7414,113,551
uce843,173,228
uce3835,134,505
uce4716,176,286
uce1278,85,901
uce6807,365,714
uce3436,147,202
uce1135,170,659
uce7724,392,519
uce2388,208,444
uce2248,323,636
uce327,522,703
uce114,413,470
uce6071,57,719
uce5914,92,593
uce2518,84,282
uce4207,518,785
uce7296,411,491
uce3287,155,265
uce1523,50,104
uce1470,40,639
uce254,71,173
uce4201,355,711
uce408,240,549
uce1371,212,622
uce6879,45,162
uce4437,276,845
uce1232,26,180
uce5215,601,658
uce3776,165,620
uce6260,123,281
uce52,275,793
uce5586,225,521
uce1820,161,546
uce5867,39,282
uce6432,219,637
uce6703,230,689
uce2560,268,484
uce2569,27,381
uce6242,333,660
uce6752,309,517
uce2211,66,217
uce6621,198,497
uce7692,546,625
uce2063,76,534
uce3632,146,586
uce1723,64,549
uce1314,41,176
uce5178,213,610
uce625,497,630
uce3376,147,253
uce2142,42,92
uce2397,95,592
uce2882,278,465
uce526,108,571
uce3897,203,472
uce6426,702,752
uce861,122,507
uce958,35,162
uce6047,145,630
uce3907,256,558
uce3647,226,500
uce4908,162,572
uce6780,76,576
uce7227,38,280
uce1933,229,803
uce7806,132,375
uce1832,189,613
uce6410,214,317
uce6530,184,264
uce1610,25,172
uce1925,175,241
uce2112,70,148
uce6931,461,536
uce7494,117,467
uce8032,220,429
uce7157,82,195
uce4416,94,153
uce598,70,120
uce6101,97,580
uce6591,30,83
uce2521,542,671
uce2013,121,195
uce6467,275,365
uce7553,154,725
uce5536,147,410
uce5969,62,144
uce1809,55,591
uce6233,274,567
uce1012,26,689
uce1600,25,430
uce3353,100,315
uce2309,36,153
uce6787,308,667
uce4680,131,198
uce1781,63,385
uce5053,150,201
uce5915,46,240
uce1425,106,755
uce518,92,196
uce6189,210,595
uce396,166,236
uce5699,136,509
uce1357,114,595
uce603,202,255
uce3393,270,541
uce3334,589,657
uce2975,212,583
uce5994,263,549
uce4694,228,486
uce2246,189,736
uce2166,127,206
uce3869,193,593
uce4175,140,633
uce3530,104,263
uce4154,99,651
uce1209,593,644
uce6211,256,520
uce5297,210,489
uce6221,94,344
uce8006,137,191
uce7957,648,698
uce5955,153,658
uce1539,64,611
uce7354,74,748
uce708,175,776
uce919,82,482
uce2387,223,571
uce3991,213,593
uce729,103,250
uce5478,203,436
uce6210,164,355
uce1092,122,179
uce2591,94,669
uce883,401,451
uce2156,104,575
uce999,113,613
uce6342,137,549
uce2527,255,568
uce1573,50,711
uce4456,469,574
uce3609,533,648
uce1814,39,523
uce266,76,514
uce2185,74,293
uce4227,167,290
uce648,47,477
uce2870,235,308
uce4650,25,652
uce6945,27,330
uce326,418,468
uce2004,221,693
uce4690,133,475
uce1412,162,675
uce3448,26,180
uce649,545,610
uce1094,118,169
uce5951,200,582
uce6272,103,409
uce6049,209,640
uce6277,144,565
uce976,172,497
uce2835,45,137
uce4638,48,109
uce3922,194,463
uce7218,178,700
uce3648,239,723
uce4837,32,225
uce2576,36,94
uce760,58,591
uce1964,126,829
uce871,91,223
uce1997,293,652
uce7503,100,158
uce4919,236,573
uce5062,35,181
