Settings used

alignment         : ./Crawford_2012.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 30950


Best partitioning scheme

Scheme Name       : step_8
Scheme lnL        : -1193788.72144
Scheme AICc       : 2395984.74411
Number of params  : 4166
Number of sites   : 465241
Number of subsets : 415

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 442        | c233262e57e1671898f6927433811e2b | chr5_10841_right, chr10_2828_left, chrz_6110_right, chr5_11266_right                                
2      | GTR+G      | 1772       | 2d0e93c1a1512c1a126feaf1a70ed74c | chr11_3508_left, chr9_5129_core, chrz_11477_core, chr1_22430_core, chr1_5509_core, chr3_9700_left, chr9_3551_right, chr6_3293_right, chr12_6056_core, chr10_2828_core, chr6_10013_right, chr9_6300_right
3      | GTR+G      | 1845       | 928dea9c321767f320c990d7d9571268 | chr4_6778_left, chr21_1554_left, chr2_13032_left, chr10_2828_right, chr6_9640_left, chr1_34773_right, chr2_18574_left, chrz_8179_left, chr2_24815_left, chr2_21314_left, chr2_24807_core, chr6_3291_left, chr11_6443_all, chrz_12021_core
4      | GTR+G      | 3067       | d80a2c36ce9631ac6acd4187750aad2d | chr3_17832_left, chr2_29406_left, chr10_4312_all, chr6_9806_core, chr11_3489_left, chr2_24807_left, chr3_7296_all, chr8_4221_right, chr2_5499_left, chr4_13431_left, chr2_7957_left, chr5_10052_left, chrz_6036_left, chr26_2189_core, chr8_310_left, chr11_2599_right, chr20_5160_left, chr3_5470_left, chr1_30390_core, chr3_2720_left, chr3_6115_right, chr7_10361_left
5      | GTR+G      | 2073       | 35ddecf90a41683438554ef5bcc5cf9a | chr2_13034_right, chr6_9069_right, chr8_5150_right, chr10_4575_left, chr3_5533_left, chr1_30659_right, chr3_6220_left, chr5_11772_left, chr3_6220_right, chr7_10870_right, chr8_199_all, chr3_5478_left, chr8_8835_left, chr6_9822_right, chr2_22059_left
6      | GTR+G      | 1748       | ad67f378dda72ac2760c238e2927db0c | chr4_7243_all, chr10_4575_core, chr19_329_all, chr3_5529_core, chr22_866_right, chr5_14682_all, chr2_14998_all, chr13_696_left
7      | GTR+G      | 1395       | 2e2f2db99b05c0892718e9dc91703349 | chr3_11879_left, chr2_18619_right, chr1_28859_left, chr2_11743_left, chr10_4575_right, chr2_18572_left, chr1_8696_right, chrz_3112_right, chr1_29941_left, chr12_4859_left, chr5_18035_right
8      | GTR+G      | 2319       | 7822d67920a5f6d3a9541a4e2fb81833 | chr14_3754_left, chr3_5848_right, chr3_6129_core, chr2_25261_left, chr4_4979_left, chr18_4478_left, chr5_2978_left, chrz_11901_left, chr8_6259_right, chr8_5177_right, chr7_4732_left, chr8_8071_right, chr10_4599_left, chr7_10409_left, chr2_18662_left, chr3_3107_all, chr4_17221_right, chr3_338_right, chr2_17639_core
9      | GTR+G      | 1175       | 2bb55ef306781169d8bb33f93a8982de | chr8_141_core, chr10_4599_core, chr11_4777_core, chr2_18733_core, chr3_5450_core, chr7_9143_right, chr7_10694_core, chr5_10797_left
10     | GTR+G      | 1027       | 8d7654433f9fa934ff812bb6b714bc0f | chr3_7243_left, chr10_4599_right, chr11_4789_right, chr3_3067_left, chr1_5322_left, chr2_25261_right, chr2_7970_left, chr2_24761_left, chr7_10443_right
11     | GTR+G      | 2111       | 279bf8bebe9ab51aac404f7ed1d85a95 | chr8_451_right, chr7_6205_left, chr3_5877_left, chr3_5748_left, chr3_9687_right, chrz_7416_right, chr7_10160_left, chr12_5878_right, chr7_10882_left, chr10_4660_all, chr7_6327_right, chr8_5307_right, chr2_22024_left, chr2_18733_left, chr3_9700_right, chr1_5338_left, chr2_27234_left
12     | GTR+G      | 1098       | 410b748cc02374bbd653799ce115d9e8 | chr1_28805_left, chr9_3638_right, chr2_11732_left, chr10_4748_left, chr3_2737_left, chr3_7251_left, chr2_23651_all, chr2_18926_right
