Settings used

alignment         : ./Crawford_2012.phy
branchlengths     : linked
models            : GTR+G
model_selection   : aicc
search            : rclusterf
weights           : rate = 1, base = 0, model = 0, alpha = 0
rcluster-percent  : 10.0
rcluster-max      : 34310


Best partitioning scheme

Scheme Name       : step_7
Scheme lnL        : -1193328.0379
Scheme AICc       : 2396082.63704
Number of params  : 4666
Number of sites   : 465241
Number of subsets : 465

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 216        | b9c8c4e629a77fc05ea7fc067e28f8db | chr5_11359_core, chr10_2828_left, chr5_10164_left, chr2_14247_core                                  
2      | GTR+G      | 1626       | e699aac00fd651e9d0397976bd377fe1 | chr10_2828_core, chr2_12049_right, chr2_25860_left, chr23_707_right, chrz_12021_core, chr2_30204_right, chr10_2828_right, chr1_28889_core, chrz_11477_left
3      | GTR+G      | 322        | d8b3edbf32c8f47631444e63b061e6e3 | chr9_3289_right, chr10_4312_left, chr1_31648_left                                                   
4      | GTR+G      | 867        | 826aba057b9f44bb9b616e2c4df4c620 | chr3_3107_right, chr13_3033_core, chr10_4312_core, chr2_24797_core, chr2_24830_left, chr6_3086_left, chr3_9732_left, chr6_9795_left, chr3_17885_core, chrz_14348_right, chrz_9608_left
5      | GTR+G      | 153        | 17dcab26c7d6e67396da6ea2b08a3eb0 | chr10_4312_right, chr8_7440_core                                                                    
6      | GTR+G      | 714        | 421b815560905b5af33981a40f4fbb01 | chr3_17211_right, chr6_9738_left, chr7_10865_right, chr2_27234_right, chr19_354_right, chr2_4395_right, chr3_5918_left, chr10_4575_left, chr8_707_left
7      | GTR+G      | 2968       | 4f35ed9b59301b95de70c91e18f2b0d5 | chr8_9141_left, chr12_4543_core, chr1_32389_core, chr13_714_right, chr10_4575_core, chr6_3276_core, chr5_18035_core, chr4_17860_core, chr13_3036_core, chr3_1282_right, chr6_4410_left, chr4_8888_left, chr3_5815_core, chr1_28784_core
8      | GTR+G      | 745        | 267052c89384db9475840c9c26e54901 | chr9_6291_left, chr2_7954_right, chr2_7958_left, chr11_4808_right, chr6_8017_left, chr2_21466_left, chr6_9762_left, chr7_3352_right, chr10_4575_right, chr1_32389_left
9      | GTR+G      | 804        | c0923d5468f2d15de5c068f55ef503f1 | chr1_37895_left, chr3_9687_right, chr10_4599_left, chr6_3291_core, chrz_11457_left, chr1_30390_left, chr5_10164_right, chr11_3582_core, chr3_13404_left, chr5_11571_left, chrz_532_left
10     | GTR+G      | 1808       | 9cef622aeeb987735f729dab271124f2 | chr5_11339_right, chrz_4759_left, chr5_11336_core, chr11_1600_right, chr8_661_right, chr4_7557_left, chr5_10912_core, chr1_5333_left, chr10_4599_core, chr6_5992_right, chr7_10849_right, chr2_18574_left, chr2_24704_left, chr1_28846_left
11     | GTR+G      | 851        | 826bf18937013402a58a848ac1f27236 | chr4_7557_right, chr8_661_left, chr5_14756_left, chr3_17832_left, chr10_4599_right, chr5_11293_right, chr3_17991_left, chrz_11901_right, chr6_9592_right, chr3_9749_left, chr1_24802_left
12     | GTR+G      | 895        | a140274446907191db65aa8ccb2889a9 | chr10_4660_left, chr7_3146_right, chr2_24876_left, chr2_22616_left, chr2_8655_right, chr2_17831_core, chr9_6291_right, chr12_5903_left, chr3_3067_right, chr2_22128_right, chr4_11110_left, chr3_1300_right, chr2_17568_right
13     | GTR+G      | 1830       | 15ee0ffbf2ef93df7f2f966ddf417f18 | chr10_4660_core, chr1_22430_left, chr6_7862_right, chr2_17831_right, chrz_14460_core, chr2_23635_left, chr1_5483_core, chr10_4790_core, chr3_21951_core, chr17_2957_core
14     | GTR+G      | 494        | 2eff66dca50533d91cd9cb314b925f49 | chr1_15118_core, chr7_1405_left, chr10_4660_right, chr2_27310_left, chr3_17802_left, chr10_5708_left, chr2_21303_left, chr11_6443_right
15     | GTR+G      | 949        | 5e31940eda2a08e2b53d7559f9be60a3 | chr3_21994_left, chr2_17666_left, chr5_10912_right, chr1_28805_left, chr8_3473_right, chr10_4748_left, chr3_6115_right, chr1_32310_left, chr1_19885_right, chr7_6630_right, chr11_4777_right
16     | GTR+G      | 2556       | 3cba054ec62287412379ec4f47e4631c | chr10_4748_core, chr3_24787_core, chr6_9640_core, chr5_10251_right, chr5_10841_left, chr6_9024_core, chr1_15477_right, chr11_4723_core, chr3_9755_core, chr1_5297_core, chr5_10816_left
17     | GTR+G      | 1023       | 6b2e00247c156246086b1bc1b1ed5207 | chr3_5819_right, chrz_11684_right, chr2_21402_left, chr3_764_right, chr6_3252_right, chr10_4748_right
18     | GTR+G      | 1178       | 1d768560cdcb00e5d720c8311495a809 | chr2_23621_core, chr8_707_right, chr9_7434_core, chr6_9772_core, chr10_4758_left, chr1_31094_right, chr3_6231_core
19     | GTR+G      | 2416       | 51f8e98232f34215e021c1a5a3a5f2f7 | chr6_3215_core, chr1_2557_right, chr10_4758_core, chr5_10135_core, chr3_24775_right, chr2_8629_core, chr3_15081_core, chr5_11214_core, chr3_9719_right, chr5_11292_right, chr5_3405_left, chr8_8806_right, chrun_random_11933_core, chr1_32388_core, chr9_1152_left, chr2_11804_right
20     | GTR+G      | 2303       | b87e9a8a8948a9259bafdc31bce698c1 | chr23_707_core, chr1_5460_right, chr3_362_right, chr3_18703_right, chr2_17801_core, chr3_17851_core, chr2_17801_right, chr4_11166_core, chr1_29841_left, chr7_10505_right, chr4_7278_right, chr2_16467_right, chr14_3774_right, chr4_7278_core, chr6_3116_right, chr2_24859_right, chr3_19987_left, chrz_11457_right, chr1_29891_right, chr10_4758_right
21     | GTR+G      | 779        | c6d2585eae5aae037974a48cab5e2389 | chr6_9632_left, chr10_4790_left, chr5_3203_core, chr3_9747_right, chr12_5877_left, chr4_8915_left, chr5_11657_left, chr2_25261_right, chrz_11557_left, chr4_11110_right
22     | GTR+G      | 2868       | 31ba428592b0f6c579802a3452847bfc | chr17_3004_core, chrz_483_core, chr2_18619_core, chr2_7218_right, chr10_4790_right, chr1_5292_core, chr2_13034_core, chrz_72_core, chr1_32216_core, chrz_6588_right, chr12_5938_core, chr4_7281_right, chr13_2920_core, chr6_3228_core, chr5_1813_core, chr1_22087_core
23     | GTR+G      | 372        | 0a80f4b04990bf4db07e329eda9498d0 | chr9_6414_left, chr10_5022_left, chr4_7251_right, chr9_4928_left, chr7_2784_left, chr4_10045_left   
24     | GTR+G      | 1963       | 2258123b592c4190e3607d2b819f7632 | chr17_1772_core, chr7_10555_right, chr1_14672_core, chr4_9240_right, chr8_6230_left, chr2_24910_core, chr7_6366_core, chr7_6598_core, chr10_5022_core, chr23_16_core, chr3_2737_core, chr11_3508_core
25     | GTR+G      | 1554       | 711fe02cd52c6f51c49f08faec55a419 | chr1_29839_core, chr8_4403_left, chr12_5730_core, chr1_28786_right, chr10_5022_right, chr7_11479_core, chrz_8024_right, chr2_8786_left, chr2_24859_left, chr6_4059_left, chrz_11555_left, chr1_22430_right, chr5_15083_left
26     | GTR+G      | 1782       | 8bf159149f038ab624eb62be1c4d441f | chr7_11485_core, chr5_3407_core, chr9_6343_right, chr3_5766_right, chr4_19912_core, chr7_2784_core, chr5_10047_right, chr2_11187_left, chr10_5678_left, chr3_5476_right, chr9_2502_right
27     | GTR+G      | 1452       | fc5b6935d378f67985a4d87f7ef455f9 | chr1_29941_core, chr9_5239_right, chr2_9170_left, chr10_5678_core, chr12_5877_core, chr1_31092_core, chr11_3190_core
28     | GTR+G      | 946        | 954bcefde81042a3845a3cc40b2bc6e5 | chr6_7982_left, chr2_8747_left, chr6_9776_left, chr10_5678_right, chr6_3086_right, chr2_2794_left, chr11_3108_left
29     | GTR+G      | 2485       | 159427e77336f7f772acfdc580da72df | chr10_5708_core, chr5_1771_core, chr2_8747_core, chr14_3723_core, chr2_22059_right, chr6_9601_core, chr4_13362_right, chrz_3148_core, chr2_12017_core, chr1_28639_right, chr2_11789_right, chr8_4410_core, chr5_10260_core, chr11_3582_right
30     | GTR+G      | 2136       | 209ae180ee8babc46bed0fae9486e924 | chr7_10800_right, chr2_24774_core, chr7_1380_left, chr2_9136_core, chr6_9803_left, chr3_5767_right, chr2_7976_right, chr10_5708_right, chr2_23261_left, chr2_8688_right, chr9_5239_left, chr20_1620_left, chr5_1055_right, chr2_18686_left, chr20_5160_left, chrun_random_9491_core
31     | GTR+G      | 2813       | a0aab09897492e16e640dd27dbd616cc | chr6_7982_core, chr1_5483_left, chr10_5739_left, chr2_17517_left, chr11_3582_left, chr2_11187_right, chr7_4715_right, chr1_28671_core, chr5_1839_right, chr7_10793_left, chr6_8771_left, chr7_10361_right, chr2_20477_left, chr7_6366_right
32     | GTR+G      | 3089       | 9830b2b807ea4365134a099b31389300 | chr7_4674_right, chr6_9559_right, chr2_18662_core, chr6_8057_core, chr1_29826_core, chr1_5365_core, chr2_24714_right, chr2_23192_right, chr2_8154_core, chr6_5958_core, chrz_8024_core, chr7_2690_core, chr10_5739_core, chr6_5958_right, chr4_18946_core, chr2_27294_core
33     | GTR+G      | 467        | fa3c35343545e493d3b3400fdbc959ac | chr4_10045_right, chr1_28784_left, chr10_5739_right, chr2_25941_left, chr6_9601_left, chr2_18608_left
34     | GTR+G      | 1917       | a49a8c53a89b2555e03536be1d66472c | chr6_7241_left, chr13_3036_left, chr3_19997_right, chr2_7963_left, chr6_9601_right, chr3_19948_right, chr1_5292_right, chr2_6737_right, chr3_17781_left, chr8_3279_right, chr8_709_left, chr8_3445_right, chr12_5730_left, chr18_3214_core, chr2_18589_left, chr3_17211_left, chr5_11336_right, chr11_1410_left, chrz_12021_left
35     | GTR+G      | 52         | eddf4920f8c109c033da7c188288b9a2 | chr11_1410_core                                                                                     
36     | GTR+G      | 2034       | 23285bea12e101cd3318d92780725c2f | chr11_1410_right, chr9_6328_left, chrz_10754_right, chrz_14576_right, chr3_1249_left, chr2_2147_left, chrz_3524_core, chr8_4063_core, chr8_3473_core, chr3_5470_core
37     | GTR+G      | 1161       | 242ea85d94ffa760f389754f408b1af6 | chr13_696_left, chr2_24807_core, chr20_1620_core, chr1_1057_core, chr11_1600_left, chr1_24640_left, chr4_10574_right, chr8_4014_right, chrz_1652_left, chr2_22628_left, chr3_6124_left, chr4_9320_right
38     | GTR+G      | 5388       | c7ee0aec68f6bdd4ebd95a7f02691c15 | chr5_10353_core, chr2_14269_core, chr9_5181_core, chr2_15019_core, chr2_17532_core, chr11_3508_left, chr1_5322_right, chr3_5819_core, chr1_32333_core, chr5_10047_core, chr11_1600_core, chr1_34768_core, chr3_25095_core, chr8_451_core, chr6_3324_left, chr7_6308_core, chr5_11660_core, chr20_5160_core, chr2_14216_core, chr4_7559_core, chr3_451_core, chr6_3276_right, chrz_11901_core
39     | GTR+G      | 774        | 752f1baae9061275ceebf31179228dbd | chr11_1757_left, chrz_72_right, chr2_23548_right, chr6_7950_right, chrz_7416_left, chr2_27317_left  
